,AC008810.1,AC093911.1,BECN2,LSS,AL022323.2,TWISTNB,AC010336.3,SPANXA2_OT1,Metazoa_SRP,RPL12P4,RN7SKP64,AC124854.1,SLFNL1_AS1,Metazoa_SRP,IRF5,AL121888.1,DYNLL1P2
04H050,0.0,0.06069784035361165,0.07554696139253074,0.5237464668115644,0.0,0.0,0.0,0.0,0.0,0.0,0.9921114877869497,0.0,0.008600171761917567,0.0,0.19865708695442263,0.0,0.1205739312058499
04H054,0.0,0.08278537031645007,0.4099331233312946,0.9232440186302765,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.9084850188786497,0.0,0.0,0.0,0.7589118923979735,0.0,0.0
04H061,0.0,0.13353890837021748,0.5587085705331657,0.8254261177678232,0.0,0.0,0.0,0.0,0.0,0.0,0.9951962915971794,0.0,0.012837224705172217,0.0,0.7307822756663892,0.004321373782642578,0.22271647114758328
04H063,0.04139268515822507,0.17897694729316943,0.5502283530550941,0.7307822756663892,0.0,0.0,0.0,0.0,0.7267272090265723,0.008600171761917567,1.0659529803138696,0.0,0.008600171761917567,0.0,0.292256071356476,0.0,0.1643528557844371
04H068,0.01703333929878037,0.2695129442179163,0.3891660843645325,1.4794313371977363,0.03742649794062367,0.0,0.0,0.0,0.0,0.07188200730612536,1.244771761495295,0.0,0.15836249209524964,0.0,0.06445798922691845,0.0,0.02530586526477026
04H078,0.0,0.16731733474817606,0.22788670461367355,0.9781805169374139,0.0,0.0,0.0,0.0,0.0,0.08635983067474821,1.1595671932336202,0.0,0.1931245983544616,0.0,0.24303804868629442,0.0,0.029383777685209667
04H080,0.0,0.1903316981702915,0.6106601630898799,1.1205739312058498,0.0,0.0,0.0,0.0,0.0,0.0,0.921686475483602,0.0,0.056904851336472634,0.0,0.0,0.008600171761917567,0.0
04H091,0.0,0.06818586174616162,0.42813479402878873,0.4638929889859073,0.1643528557844371,0.0,0.0,0.0,0.0,0.0,0.9623693356700211,0.0,0.07554696139253074,0.0,0.2787536009528289,0.0,0.02530586526477026
04H101,0.0,0.07188200730612536,0.24797326636180664,0.7634279935629373,0.0,0.0,0.0,0.0,0.0,0.0,1.1931245983544616,0.0,0.13987908640123647,0.0,0.5611013836490559,0.0,0.02530586526477026
04H103,0.0,0.4593924877592308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04H108,0.0,0.11727129565576427,0.11058971029924897,1.021189299069938,0.06069784035361165,0.0,0.0,0.03342375548694973,0.0,0.021189299069938092,1.1746411926604483,1.1115985248803941,0.13353890837021748,0.0,0.21218760440395779,0.0,0.0
04H112,0.0,0.07554696139253074,0.10380372095595687,1.1283992687178064,0.04921802267018165,0.0,0.0,0.0,0.6857417386022636,0.056904851336472634,1.1000257301078626,0.0,0.03742649794062367,0.0,0.36172783601759284,0.0,0.0
04H117,0.012837224705172217,0.07188200730612536,0.08278537031645007,0.7535830588929066,0.029383777685209667,0.0,0.0,0.0,0.0,0.029383777685209667,0.9074113607745862,0.0,0.11727129565576427,0.0,0.416640507338281,0.0,0.021189299069938092
04H120,0.23552844690754893,0.15228834438305647,0.5899496013257077,1.080987046910887,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,1.0934216851622351,0.0,0.26007138798507473,0.0,0.8488047010518037,0.0,0.11394335230683678
04H123,0.0,0.056904851336472634,0.24797326636180664,0.7450747915820575,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,1.2564772062416767,0.0,0.16136800223497488,0.0,0.4082399653118496,0.0,0.0
04H132,0.0,0.146128035678238,0.26245108973042947,0.5211380837040362,0.04532297878665747,0.0,0.0,0.0,0.0,0.03342375548694973,0.6730209071288962,0.0,0.20139712432045143,0.0,0.021189299069938092,0.0,0.09342168516223506
04H133,0.0,0.05307844348341968,0.04532297878665747,1.0561422620590524,0.029383777685209667,0.0,0.0,0.0,0.0,0.10037054511756291,1.0269416279590293,0.0,0.07554696139253074,0.0,0.22010808804005513,0.0,0.0
04H135,0.0,0.13987908640123647,0.16731733474817606,1.0989896394011773,0.0,0.0,0.0,0.0,0.0,0.0,0.9881128402683519,0.0,0.0,0.0,0.436162647040756,0.0,0.0
04H138,0.0,0.08990511143939793,0.541579243946581,1.0417873189717517,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,0.9943171526696367,0.0,0.0,0.0,0.1846914308175988,0.0,0.09691001300805642
04H140,0.01703333929878037,0.05307844348341968,0.44560420327359757,0.8438554226231612,0.03342375548694973,0.0,0.0,0.0,0.0,0.029383777685209667,1.0402066275747113,0.0,0.07554696139253074,0.0,0.22530928172586287,0.0,0.012837224705172217
05H008,0.0,0.18184358794477254,0.13987908640123647,1.0051805125037803,0.10720996964786837,0.0,0.0,0.0,0.0,0.06445798922691845,1.165541076722373,0.0,0.1430148002540951,0.0,0.07918124604762482,0.0,0.0
05H013,0.012837224705172217,0.17897694729316943,0.34635297445063856,0.5327543789924978,0.09691001300805642,0.0,0.0,0.0,0.0,0.008600171761917567,1.1370374547895126,0.0,0.23299611039215382,0.0,0.0,0.0,0.3443922736851107
05H025,0.0,0.12385164096708583,0.3729120029701066,0.8109042806687004,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,0.909020854211156,0.0,0.13033376849500614,0.0,0.18184358794477254,0.004321373782642578,0.0
05H030,0.0,0.09342168516223506,0.09342168516223506,1.1455071714096627,0.0,0.0,0.0,0.03742649794062367,0.0,0.06445798922691845,1.1085650237328344,0.0,0.02530586526477026,0.0,0.05307844348341968,0.0,0.0
05H034,0.0,0.08990511143939793,0.5831987739686227,0.8756399370041683,0.04139268515822507,0.0,0.0,0.0,1.3287872003545347,0.0,0.9717395908877782,0.0,0.07554696139253074,0.0,0.3053513694466238,0.0,0.06445798922691845
05H042,0.0,0.07554696139253074,0.1205739312058499,0.7881683711411677,0.029383777685209667,0.0,0.0,0.0,0.0,0.008600171761917567,1.0817072700973491,0.0,0.008600171761917567,0.0,0.8061799739838872,0.0,0.0
05H050,0.0,0.06069784035361165,0.146128035678238,0.8579352647194289,0.03342375548694973,0.0,0.0,0.0,0.0,0.004321373782642578,0.9735896234272569,0.0,0.07188200730612536,0.0,0.14921911265537988,0.0,0.07554696139253074
05H054,0.0,0.10037054511756291,0.3053513694466238,0.5477747053878226,0.0,0.0,0.0,0.02530586526477026,0.0,0.008600171761917567,0.9242792860618817,0.0,0.06069784035361165,0.0,0.31386722036915343,0.0,0.24551266781414982
05H065,0.0,0.06445798922691845,0.38021124171160603,0.9324737646771531,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,1.104145550554008,0.0,0.08990511143939793,0.0,0.03742649794062367,0.0,0.16136800223497488
05H066,0.0,0.11058971029924897,0.7058637122839193,1.0417873189717517,0.029383777685209667,0.0,0.0,0.0,0.0,0.06818586174616162,0.964259630196849,0.0,0.25527250510330607,0.0,0.6570558528571039,0.0,0.0
05H072,0.0,0.07188200730612536,0.2966651902615311,0.5797835966168101,0.07188200730612536,0.0,0.0,0.0,0.0,0.05307844348341968,1.1172712956557642,0.0,0.24551266781414982,0.0,0.3729120029701066,0.0,0.0
05H078,0.004321373782642578,0.17609125905568124,0.24054924828259971,1.131297796597623,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,0.8457180179666586,0.0,0.01703333929878037,0.0,0.6263403673750424,0.0,0.0
05H090,0.0,0.11058971029924897,0.5717088318086876,0.5289167002776547,0.0,0.0,0.0,0.0,1.011570443597278,0.0,1.110589710299249,0.0,0.029383777685209667,0.0,0.7339992865383869,0.0,0.02530586526477026
05H094,0.01703333929878037,0.11058971029924897,0.7505083948513462,0.7387805584843692,0.0,0.0,0.0,0.0,0.0,0.09691001300805642,1.02816441942447,0.0,0.35602585719312274,0.6821450763738318,0.0,0.0,0.0
05H097,0.008600171761917567,0.056904851336472634,0.3364597338485295,0.6127838567197355,0.03342375548694973,0.0,0.0,0.0,0.9703468762300933,0.004321373782642578,1.003029470553618,0.0,0.05307844348341968,0.0,0.22788670461367355,0.0,0.012837224705172217
05H099,0.0,0.20951501454263097,0.5440680443502757,0.4623979978989561,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,1.105510184769974,0.0,0.008600171761917567,0.0,1.012415374762433,0.0,0.0
05H111,0.0,0.17318626841227402,0.3283796034387377,0.8142475957319202,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.9523080096621253,0.0,0.012837224705172217,0.0,0.16136800223497488,0.008600171761917567,0.0
05H113,0.0,0.16136800223497488,0.10037054511756291,0.9934362304976116,0.06445798922691845,0.0,0.0,0.0,0.0,0.01703333929878037,0.9876662649262746,0.0,0.029383777685209667,0.0,1.1643528557844371,0.0,0.0
05H118,0.0,0.10037054511756291,0.06069784035361165,1.105510184769974,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,0.8790958795000727,0.0,0.01703333929878037,0.0,0.8709888137605752,0.004321373782642578,0.0
05H128,0.01703333929878037,0.1205739312058499,0.7723217067229198,1.808143425761491,0.0,0.0,0.0,0.0,0.0,0.07554696139253074,1.2041199826559248,0.0,0.7387805584843692,0.0,0.5932860670204572,0.0,0.029383777685209667
05H136,0.0,0.10037054511756291,0.4471580313422192,0.9858753573083936,0.0,0.0,0.0,0.0,0.7041505168397991,0.021189299069938092,1.0565237240791003,0.0,0.04921802267018165,0.0,0.546542663478131,0.0,0.10037054511756291
05H143,0.0,0.09342168516223506,0.17609125905568124,1.3332456989619628,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,1.1498346967157849,0.0,0.029383777685209667,0.0,0.07554696139253074,0.0,0.0
05H149,0.0,0.250420002308894,0.021189299069938092,1.3070679506612983,0.11727129565576427,0.0,0.0,0.0,0.0,0.09691001300805642,0.9532763366673044,0.0,0.0,0.0,0.5132176000679389,0.0,0.08635983067474821
05H163,0.0,0.16136800223497488,0.3344537511509309,1.1126050015345745,0.0,0.0,0.0,0.0,0.0,0.0,1.100370545117563,0.0,0.07918124604762482,0.0,0.7895807121644255,0.0,0.0
05H179,0.012837224705172217,0.13987908640123647,0.06069784035361165,1.2041199826559248,0.0,0.0,0.0,0.0,0.8887409606828927,0.08635983067474821,1.0941215958405615,0.0,0.07918124604762482,0.0,0.15836249209524964,0.012837224705172217,0.021189299069938092
05H181,0.0,0.08278537031645007,0.1430148002540951,0.568201724066995,0.0,0.0,0.0,0.0,0.0,0.021189299069938092,1.0637085593914175,0.0,0.20139712432045143,0.0,0.2671717284030138,0.0,0.250420002308894
05H184,0.0,0.13987908640123647,0.20951501454263097,1.1156105116742998,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,1.0958664534785427,0.0,0.01703333929878037,0.0,0.4941545940184428,0.0,0.021189299069938092
05H193,0.0,0.05307844348341968,0.0,0.5198279937757188,0.08278537031645007,0.004321373782642578,0.0,0.0,0.0,0.04921802267018165,1.0835026198302673,0.0,0.09691001300805642,0.5658478186735176,0.24303804868629442,0.0,0.0
05H195,0.004321373782642578,0.06069784035361165,0.07554696139253074,1.2662316966898932,0.06818586174616162,0.0,0.0,0.0,0.0,0.17897694729316943,1.0614524790871933,0.0,0.012837224705172217,0.0,0.6884198220027106,0.0,0.0
06H010,0.0,0.24797326636180664,0.15836249209524964,0.8727388274726688,0.04139268515822507,0.0,0.0,0.0,1.0831441431430522,0.012837224705172217,1.4695274791870139,0.0,0.08635983067474821,0.0,0.03742649794062367,0.0,0.029383777685209667
06H011,0.0,0.04532297878665747,0.34830486304816066,0.6693168805661122,0.0,0.0,0.0,0.0,0.0,0.06069784035361165,1.082066934285113,0.0,0.1430148002540951,0.0,0.11058971029924897,0.0,0.0
06H019,0.0,0.07188200730612536,0.11727129565576427,0.6334684555795865,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,1.0867156639448825,0.0,0.0,0.0,0.37657695705651195,0.0,0.012837224705172217
06H020,0.0,0.10037054511756291,0.4132997640812518,0.568201724066995,0.06445798922691845,0.0,0.0,0.0,0.0,0.0,1.0572856444182146,0.0,0.04139268515822507,0.0,0.6857417386022636,0.0,0.02530586526477026
06H021,0.0,0.06818586174616162,0.22010808804005513,0.8959747323590646,0.0,0.0,0.0,0.0,0.0,0.021189299069938092,0.9965116721541787,0.0,0.07554696139253074,0.0,0.26481782300953643,0.021189299069938092,0.012837224705172217
06H026,0.004321373782642578,0.04532297878665747,0.4329692908744057,0.6857417386022636,0.0,0.0,0.0,0.0,0.0,0.021189299069938092,0.9786369483844743,0.0,0.06445798922691845,0.0,0.8597385661971468,0.0,0.01703333929878037
06H028,0.012837224705172217,0.22530928172586287,0.06818586174616162,1.2826221128780626,0.0,0.0,0.0,0.02530586526477026,0.0,0.1367205671564068,1.295567099962479,0.0,0.2576785748691845,0.0,0.09342168516223506,0.0,0.01703333929878037
06H029,0.0,0.05307844348341968,0.30319605742048883,0.5550944485783191,0.0,0.0,0.0,0.0,1.0273496077747566,0.008600171761917567,0.9283958522567138,0.0,0.029383777685209667,0.0,1.1818435879447726,0.0,0.0
06H035,0.0,0.1430148002540951,0.3729120029701066,0.8633228601204559,0.05307844348341968,0.0,0.0,0.0,0.6776069527204931,0.008600171761917567,1.2232362731029975,0.0,0.08635983067474821,0.0,0.22788670461367355,0.0,0.24303804868629442
06H038,0.0,0.07554696139253074,0.416640507338281,0.7759743311293691,0.03342375548694973,0.0,0.0,0.0,0.0,0.012837224705172217,1.0394141191761372,0.0,0.03742649794062367,0.0,0.012837224705172217,0.0,0.0
06H045,0.0,0.17897694729316943,0.11058971029924897,0.8463371121298052,0.0,0.0,0.0,0.0,0.0,0.0,1.1132746924643504,0.0,0.04921802267018165,0.0,0.7323937598229685,0.0,0.05307844348341968
06H048,0.0,0.09691001300805642,0.21218760440395779,0.4424797690644485,0.0,0.0,0.0,0.0,0.0,0.0,0.9395192526186185,0.0,0.16136800223497488,0.0,0.029383777685209667,0.0,0.17026171539495738
06H066,0.0,0.06818586174616162,1.0261245167454502,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.8739015978644614,0.0,0.012837224705172217,0.0,0.8692317197309762,0.0,0.0
06H073,0.01703333929878037,0.15228834438305647,0.37839790094813763,1.2245330626060857,0.0,0.0,0.0,0.0,0.0,0.10380372095595687,0.9014583213961124,0.0,0.18184358794477254,0.0,0.4014005407815441,0.004321373782642578,0.0
06H074,0.04139268515822507,0.11394335230683678,0.45636603312904306,0.42813479402878873,0.0,0.0,0.0,0.0,1.04296907339318,0.008600171761917567,0.9872192299080049,0.0,0.05307844348341968,0.03742649794062367,0.01703333929878037,0.0,0.012837224705172217
06H075,0.004321373782642578,0.03342375548694973,0.09342168516223506,0.6963563887333322,0.0,0.0,0.0,0.0,0.0,0.0,1.04766419460156,0.0,0.20682587603184968,0.0,0.12385164096708583,0.0,0.0
06H077,0.0,0.1903316981702915,0.49968708261840383,0.541579243946581,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.8518696007297664,0.0,0.37474834601010387,0.0,0.0,0.0,0.02530586526477026
06H088,0.0,0.10720996964786837,0.5502283530550941,0.9818186071706636,0.08635983067474821,0.0,0.0,0.0,0.0,0.04532297878665747,0.9943171526696367,0.0,0.5314789170422551,0.0,0.3443922736851107,0.0,0.0
06H089,0.0,0.08635983067474821,0.06069784035361165,1.0358298252528282,0.09691001300805642,0.0,0.0,0.0,0.0,0.04532297878665747,0.9795483747040951,0.0,0.0,0.42324587393680785,0.2695129442179163,0.0,0.0
06H099,0.0,0.17609125905568124,0.21748394421390624,0.9148718175400503,0.03742649794062367,0.0,0.0,0.0,0.0,0.021189299069938092,1.1142772965615864,0.0,0.02530586526477026,0.0,0.3891660843645325,0.0,0.0
06H103,0.0,0.4132997640812518,0.20682587603184968,1.0149403497929366,0.0,0.0,0.0,0.0,0.0,0.04532297878665747,1.1370374547895126,0.0,0.16136800223497488,0.0,0.03742649794062367,0.004321373782642578,0.029383777685209667
06H106,0.0,0.10380372095595687,0.35410843914740087,1.0326187608507198,0.0,0.0,0.0,0.0,0.0,0.06445798922691845,0.8876173003357362,0.0,0.16731733474817606,0.0,0.12385164096708583,0.0,0.012837224705172217
06H115,0.0,0.04921802267018165,0.17026171539495738,0.9329808219231982,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,1.0655797147284485,0.0,0.06445798922691845,0.0,0.9003671286564703,0.0,0.012837224705172217
06H117,0.0,0.15228834438305647,0.919078092376074,1.0806264869218056,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,1.0762762554042176,0.0,0.3820170425748684,0.0,0.3424226808222063,0.0,0.0
06H133,0.0,0.17897694729316943,0.6812412373755872,1.1858253596129622,0.03742649794062367,0.0,0.0,0.0,0.0,0.004321373782642578,1.0561422620590524,0.0,0.0,0.0,0.9749719942980689,0.0,0.0
06H144,0.0,0.42324587393680785,0.04921802267018165,1.2638726768652235,0.0,0.0,0.0,0.0,0.0,0.08635983067474821,1.162862993321926,0.0,0.1367205671564068,0.0,0.03342375548694973,0.0,0.012837224705172217
06H146,0.0,0.13987908640123647,0.0,1.3328422669943516,0.03342375548694973,0.0,0.0,0.0,0.9694159123539814,0.012837224705172217,1.220631019448092,0.0,0.012837224705172217,0.2741578492636798,0.4014005407815441,0.0,0.012837224705172217
06H151,0.0,0.09691001300805642,0.5327543789924978,0.9425041061680807,0.04921802267018165,0.0,0.0,0.0,0.0,0.008600171761917567,1.0132586652835165,0.0,0.004321373782642578,0.0,0.9116901587538612,0.012837224705172217,0.01703333929878037
07H003,0.0,0.09342168516223506,0.9885589568786155,0.7671558660821804,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,1.1414497734004674,0.0,0.021189299069938092,0.0,0.05307844348341968,0.0,0.0
07H005,0.004321373782642578,0.1430148002540951,0.04139268515822507,1.1580607939366052,0.03342375548694973,0.004321373782642578,0.0,0.0,0.0,0.14921911265537988,1.1166077439882485,0.0,0.01703333929878037,0.0,0.28555730900777376,0.008600171761917567,0.0
07H009,0.012837224705172217,0.2671717284030138,0.17026171539495738,1.0696680969115957,0.0,0.0,0.0,0.021189299069938092,1.011993114659257,0.03742649794062367,1.1911714557285586,0.0,0.04532297878665747,0.0,0.250420002308894,0.004321373782642578,0.23552844690754893
07H019,0.0,0.08635983067474821,0.5820633629117087,0.5877109650189114,0.0,0.0,0.0,0.0,0.9585638832219674,0.01703333929878037,0.9628426812012424,0.0,0.07188200730612536,0.0,0.39093510710337914,0.0,0.0
07H020,0.0,0.13353890837021748,0.021189299069938092,1.2720737875000099,0.0,0.0,0.0,0.0,0.0,0.03742649794062367,1.08278537031645,0.0,0.012837224705172217,0.0,0.5276299008713387,0.012837224705172217,0.11394335230683678
07H024,0.0,0.20682587603184968,0.0,0.7218106152125465,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.967547976218862,0.0,0.029383777685209667,0.0,0.31175386105575426,0.0,0.008600171761917567
