,GDF3,AC234917.1,LINC02313,AC087441.1,AC005670.2,AL591438.2,AC106798.1,CYP3A4,AC093627.4,AC004832.5,CARMIL3,AL049766.3,MCF2L2,AP001357.2,OR10Y1P,SLAMF6,U1
01H001,0.008600171761917567,1.184975190698261,0.004321373782642578,0.2966651902615311,0.0,0.48144262850230496,0.1553360374650618,0.6283889300503115,0.0,1.2629254693318315,0.03742649794062367,1.1872386198314788,0.0,0.28103336724772754,0.0,0.004321373782642578,0.0
01H002,0.0,1.0906107078284066,0.0,0.008600171761917567,0.0,0.15228834438305647,0.029383777685209667,0.7993405494535817,0.0,1.0047511555910011,0.0,0.30749603791321295,0.004321373782642578,0.3443922736851107,0.0,0.004321373782642578,0.10380372095595687
02H003,0.0,1.200303182981585,0.0,0.04921802267018165,0.0,0.36361197989214433,0.04139268515822507,0.13987908640123647,0.0,1.0342272607705507,0.0,0.9425041061680807,0.03342375548694973,0.3856062735983121,0.0,0.0,0.012837224705172217
02H009,0.0,1.25478968739721,0.0,0.01703333929878037,0.0,0.22530928172586287,0.01703333929878037,0.8344207036815325,0.0,1.1577588860468637,0.0,0.414973347970818,0.0,0.5932860670204572,0.0,0.004321373782642578,0.0
02H017,0.0,1.2054750367408908,0.0,0.008600171761917567,0.0,0.06818586174616162,0.008600171761917567,0.6785183790401139,0.03342375548694973,1.0993352776859577,0.0,0.1205739312058499,0.029383777685209667,0.3521825181113625,0.0,0.004321373782642578,0.02530586526477026
02H025,0.0,0.9429995933660404,0.0,0.008600171761917567,0.0,0.29885307640970665,0.11058971029924897,1.0326187608507198,0.004321373782642578,1.1156105116742998,0.06818586174616162,0.8215135284047732,0.0,0.4548448600085102,0.0,0.0,0.0
02H026,0.0,1.1095785469043866,0.0,0.012837224705172217,0.0,0.04921802267018165,0.0,0.2304489213782739,0.004321373782642578,1.0257153839013406,0.0,0.37474834601010387,0.0,0.5078558716958309,0.0,0.004321373782642578,0.20682587603184968
02H033,0.0,1.0224283711854865,0.0,0.02530586526477026,0.0,0.35024801833416286,0.012837224705172217,0.46982201597816303,0.0,1.1894903136993675,0.0,1.1920095926536702,0.0,0.505149978319906,0.0,0.0,0.13033376849500614
02H043,0.0,1.212986184736668,0.0,0.03342375548694973,0.0,0.24551266781414982,0.004321373782642578,0.9652017010259121,0.02530586526477026,1.1142772965615864,0.0,0.37106786227173627,0.0,0.42975228000240795,0.0,0.0,0.0
02H046,0.0,1.2119210843085093,0.0,0.01703333929878037,0.0,0.3820170425748684,0.0,0.6503075231319365,0.0,1.2626883443016965,0.0,0.01703333929878037,0.0,0.5538830266438743,0.0,0.0,0.021189299069938092
02H053,0.0,0.9708116108725178,0.0,0.08635983067474821,0.0,0.04139268515822507,0.004321373782642578,0.41161970596323016,0.0,1.0461047872460387,0.0,0.021189299069938092,0.0,0.36921585741014284,0.0,0.0,0.0
02H066,0.0,1.104145550554008,0.0,0.04532297878665747,0.0,0.18752072083646307,0.07188200730612536,0.9429995933660404,0.021189299069938092,1.011570443597278,0.0,0.1205739312058499,0.0,0.5105450102066121,0.0,0.0,0.029383777685209667
03H016,0.0,1.3178544893314692,0.0,0.04921802267018165,0.0,0.11058971029924897,0.18752072083646307,0.4842998393467858,0.0,1.387033701282363,0.0,0.7909884750888159,0.0,0.3222192947339193,0.03342375548694973,0.0,0.008600171761917567
03H022,0.0,1.4424797690644486,0.0,0.14921911265537988,0.0,0.22010808804005513,0.07918124604762482,0.7458551951737289,0.03342375548694973,1.391993072259713,0.0,1.8049567998574916,0.0,0.5477747053878226,0.0,0.008600171761917567,0.04921802267018165
03H024,0.0,1.1541195255158467,0.0,0.04139268515822507,0.0,0.24797326636180664,0.0,0.8260748027008264,0.008600171761917567,1.2035767749779727,0.0,0.8432327780980093,0.0,0.26245108973042947,0.0,0.0,0.23299611039215382
