,DUX4L16,CCDC38,CCT7,AC015917.1,BASP1,AC148477.10,IQCF6,CCDC43,AC114277.1,AK6P2,AC009963.1,SRPK2P,AL139243.1,NR2E3,MIR1238,KCNJ5,KNDC1,AC013470.3,AC130307.1,ACP7,CRP,COX6B1,AC073115.1,RNU6_1011P,PRSS33,AC092125.2,PAG1,ICOSLG,OR11H7,AC109495.1,AL139330.1,HIST1H3E,SH3GL1,EIF2AK3_DT,AC092326.1,AP005264.7,ASH2LP3,KIF25,AC091925.1,SIGLEC1,AP001062.2,NCOA7_AS1,AC104136.1,AC069029.1,LYPLA1P2,AC245884.7,CACNG3,ZNF90P1,CCKAR,RGMB_AS1,AL136040.1,AP000785.1,BTBD9,AL591742.1,HECW1,AC022306.3,AC018692.1,MIR141,AL355001.1,AC012157.3,HJURP,KRBOX1_AS1,AC068594.1,EYA2,OR9K1P,AC091576.1,MIR6165,RNU6_1132P,ARRDC3,Metazoa_SRP,AFF4,DPYSL4,AC020914.2,LINC02341,COMMD4,LINC01516,MTCO3P29,UHRF2P1,AL137022.1,AP002991.1,AL031717.1,ABRAXAS2,HORMAD1,AC114812.1,AC002074.1,AL928654.4,AC005332.5,WRBP1,AC092142.2,LINC00349,AP000797.1,AP000265.1,S100A11P2,FO393401.2,MIR559,PLVAP,LINC00707,AC020891.2,MIR548K,AC022616.5,LINC02057,RNU6_153P,EGR2,AC103691.1,LINC02400,MAP3K2,LSR,PRYP5,MITF,ANXA10,PCYT1B,TOMM34,AL500527.2,AC005865.1,RN7SKP109,MIR1246,LINC00460,SDK1,MIR525,COQ10B,RNA5SP106,RNU6_629P,MIR3681HG,PAQR7,MIR6724_2,OR4B2P,AC000065.2,HIST4H4,LINC02698,AC012354.7,ENPP7P14,COX6CP2,KRIT1,AC069155.1,SPOCK2,AC117378.1,AC096921.2,AC008945.1,AC068050.1,AC090206.1,RNU6_142P,DNAH17,AC005019.2,TSPAN4,AC005856.1,AC020658.3,TRBJ1_1,AC012485.2,RN7SL123P,MIR6861,MGAT3_AS1,LINC02858,AL360270.1,AC018880.2,Z95327.1,LINC00525,CCDC113,OR6Q1,HTR2A_AS1,AL662884.3,AP005131.5,HSPD1P6,ZNRF3,RNU4_8P,AC093259.1,SNHG7,MOGAT2,GTF2IP12,AC022211.1,AC006460.1,PIP5KL1,AP003032.2,ALG3,CWF19L2,HBB,CCSER2,AC133644.3,RN7SKP182,ATP10A,DRC7,RNF215,RNU6_353P,AC013734.1,AC027279.4,AP001094.2,IGLV1_50,RNU6_392P,AC078857.1,AC073050.1,AC111000.3,NOS2P1,ROCK2,OTUD7B,ZNF860,ARL5A,RNU6_906P,RPL21P91,AL512638.3,AP001469.2,VWA3A
01H001,0.0,0.0,0.0,0.03742649794062367,0.0,1.5055569386638217,0.01703333929878037,0.437750562820388,1.0090257420869102,1.1967287226232868,0.12710479836480765,0.0,0.9479236198317265,0.04139268515822507,0.06445798922691845,0.0,0.0,0.0,1.2853322276438846,0.0,0.0,0.0,0.0,1.3484995702838378,0.0,0.0,0.06445798922691845,0.3926969532596657,0.1643528557844371,0.5763413502057928,0.0,0.0,1.04883008652835,0.37474834601010387,0.0,0.0,0.0,0.05307844348341968,0.03342375548694973,0.0,0.0,0.0,0.0,0.4065401804339551,0.9232440186302765,0.0,0.15228834438305647,0.0,0.0,1.6886867242841235,0.0,0.07188200730612536,0.0,0.0,0.17318626841227402,0.004321373782642578,0.0,0.0,0.0,1.331427296520743,0.004321373782642578,0.004321373782642578,0.021189299069938092,0.5428254269591799,0.0,0.1430148002540951,0.06445798922691845,0.0,0.0,0.0,0.0,0.008600171761917567,2.3301092545928297,0.0,0.04921802267018165,0.0,0.0,0.0,0.021189299069938092,1.0674428427763807,0.07188200730612536,0.0,0.12710479836480765,0.0,0.92272545799326,0.01703333929878037,0.021189299069938092,0.0,0.0,0.0,0.0,0.01703333929878037,0.10720996964786837,0.0,0.0,0.0,0.13987908640123647,0.0,0.0,0.0,0.021189299069938092,0.0,0.658964842664435,0.0,0.436162647040756,0.0,0.0,0.0,1.308991029000164,0.45331834004703764,1.130333768495006,1.2000292665537704,0.0,0.0,0.39093510710337914,0.0,0.0,0.0,0.0,0.0,1.2281436075977417,0.9666109866819343,0.01703333929878037,0.0,0.0,0.0,0.07188200730612536,0.0,0.0,0.1553360374650618,0.06445798922691845,1.9556877503135057,0.0,0.0,0.0,0.49554433754644844,0.0,0.0,0.0,0.9809119377768436,0.0,0.11394335230683678,0.0,1.356790460351716,0.39093510710337914,1.0166155475571774,1.5036545192429593,0.0,0.008600171761917567,0.1846914308175988,0.0,0.0,0.0,0.8842287696326039,1.2789821168654432,0.0,0.0,0.0,0.909020854211156,0.12710479836480765,0.1553360374650618,1.3712526291249394,0.7774268223893114,0.0,0.0,1.9307453283111133,1.7476448193282481,0.08990511143939793,0.0,0.0,0.004321373782642578,0.02530586526477026,0.0,0.004321373782642578,0.0,0.008600171761917567,0.10037054511756291,0.0,0.0,0.69284691927723,0.0,0.0,0.0,0.0,0.5751878449276611,1.1528995963937474,0.35602585719312274,0.008600171761917567,0.5224442335063199,0.0,0.26245108973042947,0.008600171761917567,1.1838390370564211,1.5161385767170743,1.2030328870147107,0.0,0.0,0.18752072083646307,1.2327420627207368,0.0
01H002,0.0,0.06818586174616162,0.0,0.008600171761917567,0.0,0.8744818176994664,0.0,0.12385164096708583,0.3856062735983121,0.36548798489089973,0.3053513694466238,0.0,0.4517864355242902,0.0,0.02530586526477026,0.0,0.0,0.0,0.9498777040368748,0.0,0.0,0.0,0.0,1.0842186867392387,0.0,0.0,0.12385164096708583,0.146128035678238,0.12385164096708583,0.6766936096248666,0.0,0.0,0.9795483747040951,0.19865708695442263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05307844348341968,0.4756711883244297,0.0,0.03742649794062367,0.0,0.0,1.271609301378832,0.02530586526477026,0.0,0.012837224705172217,0.0,0.04921802267018165,0.1205739312058499,0.0,0.03742649794062367,0.0,1.2645817292380774,0.004321373782642578,0.004321373782642578,0.0,0.31806333496276157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1699975370665703,0.0,0.056904851336472634,0.0,0.0,0.0,0.04921802267018165,0.9854264740830017,0.004321373782642578,0.0,0.01703333929878037,0.0,1.3064250275506875,0.11727129565576427,0.021189299069938092,0.0,0.004321373782642578,0.0,0.0,0.28330122870354957,0.004321373782642578,0.0,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,0.01703333929878037,0.0,0.287801729930226,0.0,0.11727129565576427,0.0,0.0,0.0,0.2966651902615311,0.1643528557844371,0.5910646070264992,0.887054378050957,0.0,0.0,0.05307844348341968,0.0,0.0,0.0,0.0,0.0,0.9912260756924949,0.5865873046717549,0.0,0.0,0.0,0.0,0.012837224705172217,0.0,0.004321373782642578,0.15228834438305647,1.6789733759197651,1.5321171162488039,0.0,0.0,0.0,0.18184358794477254,0.0,0.0,0.0,0.8426092396105621,0.4132997640812518,0.0,0.0,1.084576277934331,0.03342375548694973,0.8597385661971468,1.5185139398778875,0.0,0.0,0.08635983067474821,0.0,0.0,0.0,0.7193312869837267,1.1179338350396415,0.0,0.0,0.012837224705172217,0.5728716022004803,0.04921802267018165,0.2148438480476979,0.9237619608287003,0.03742649794062367,0.01703333929878037,0.0,1.018284308426531,1.657820456015697,0.0,0.0,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5820633629117087,0.029383777685209667,0.0,0.0,0.0,0.6273658565927327,0.6464037262230695,0.0,0.0,0.3996737214810381,0.0,0.09342168516223506,0.0,1.7331972651065695,1.4050046650503694,0.9283958522567138,0.0,0.0,0.03742649794062367,0.7923916894982539,0.0
02H003,0.012837224705172217,0.0,0.0,0.02530586526477026,0.0,1.3529539117100877,0.0,0.37839790094813763,0.5634810853944107,0.5728716022004803,0.11727129565576427,0.0,0.49554433754644844,0.0,0.0,0.0,0.0,0.0,0.9116901587538612,0.0,0.0,0.0,0.0,0.9063350418050906,0.0,0.0,0.01703333929878037,0.35410843914740087,0.20139712432045143,0.7701152947871016,0.0,0.0,1.0877814178095424,0.3010299956639812,0.0,0.0,0.0,0.0,0.09342168516223506,0.0,0.0,0.0,0.0,0.11394335230683678,0.20682587603184968,0.0,0.03742649794062367,0.0,0.0,1.5962671263955153,0.0,0.0,0.0,0.0,0.04921802267018165,0.008600171761917567,0.0,0.0,0.07188200730612536,1.5712428505602238,0.029383777685209667,0.0,0.0,0.271841606536499,0.029383777685209667,0.0,0.08990511143939793,0.0,0.0,0.0,0.0,0.0,2.052578525044658,0.0,0.06445798922691845,0.0,0.0,0.0,0.012837224705172217,0.8109042806687004,0.0,0.0,0.07188200730612536,0.0,1.3242824552976926,0.18752072083646307,0.008600171761917567,0.0,0.0,0.008600171761917567,0.0,0.10037054511756291,0.01703333929878037,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.06445798922691845,0.0,1.021189299069938,0.0,0.29885307640970665,0.0,0.0,0.0,0.6148972160331346,0.1430148002540951,1.0199466816788423,0.9731278535996987,0.0,0.0,0.03742649794062367,0.0,0.0,0.0,0.0,0.0,1.1528995963937474,0.7846172926328754,0.06818586174616162,0.0,0.0,0.0,0.11727129565576427,0.0,0.0,0.359835482339888,0.6739419986340879,1.6147917919564174,0.0,0.012837224705172217,0.0,0.4653828514484183,0.0,0.0,0.0,1.2479732663618066,0.2304489213782739,0.01703333929878037,0.0,1.5774917998372253,0.029383777685209667,0.9684829485539351,2.103803720955957,0.0,0.0,0.04532297878665747,0.0,0.0,0.05307844348341968,0.7902851640332417,1.06781451116184,0.0,0.0,0.0,0.8450980400142568,0.0,0.271841606536499,1.216165902285993,0.056904851336472634,0.02530586526477026,0.0,1.2392994791268925,1.7096091210726487,0.004321373782642578,0.0,0.0,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6190933306267428,0.04139268515822507,0.0,0.0,0.0,1.0433622780211296,0.7730546933642626,0.13033376849500614,0.01703333929878037,0.9159272116971158,0.0,0.1846914308175988,0.0,1.4201208480857028,1.5419534744582362,0.9652017010259121,0.0,0.0,0.11727129565576427,1.2068258760318498,0.0
02H009,0.0,0.9185545305502735,0.0,0.04139268515822507,0.0,1.2337573629655105,0.0,0.14921911265537988,0.250420002308894,0.38021124171160603,0.3384564936046048,0.0,0.06069784035361165,0.0,0.0,0.0,0.0,0.0,0.9143431571194408,0.0,0.0,0.0,0.0,1.2216749970707688,0.0,0.0,0.20682587603184968,0.10037054511756291,0.40483371661993806,0.17897694729316943,0.0,0.0,1.1129399760840801,0.28330122870354957,0.0,0.021189299069938092,0.0,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.05307844348341968,1.269746373130767,0.0,0.10720996964786837,0.0,0.0,1.3585059114902351,0.0,0.0,0.029383777685209667,0.0,0.01703333929878037,0.03742649794062367,0.0,0.19589965240923368,0.0,1.4220971631317103,0.004321373782642578,0.004321373782642578,0.0,0.5440680443502757,0.0,0.0,0.08990511143939793,0.0,0.0,0.0,0.0,0.0,2.0726542173330342,0.0,0.35410843914740087,0.0,0.0,0.0,0.02530586526477026,0.9344984512435677,0.01703333929878037,0.012837224705172217,0.0,0.0,1.3893433112520779,0.021189299069938092,0.029383777685209667,0.0,0.0,0.0,0.0,0.2576785748691845,0.03742649794062367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021189299069938092,0.0,0.631443769013172,0.0,0.26007138798507473,0.0,0.0,0.0,0.546542663478131,0.2966651902615311,0.8674674878590515,0.8926510338773004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0468851908377101,0.7930916001765802,0.0,0.0,0.0,0.0,0.04139268515822507,0.008600171761917567,0.0,0.01703333929878037,0.8075350280688532,1.565729787831127,0.0,0.0,0.0,0.3053513694466238,0.0,0.0,0.0,0.9703468762300933,0.008600171761917567,0.03742649794062367,0.0,1.1277525158329733,0.008600171761917567,0.9804578922761,1.6954816764901974,0.0,0.004321373782642578,0.01703333929878037,0.0,0.0,0.0,0.8000293592441343,1.3977662561264501,0.0,0.0,0.008600171761917567,0.6454222693490919,0.0,0.0,1.0916669575956846,0.11058971029924897,0.03342375548694973,0.0,1.3220124385824004,1.745465168670727,0.06818586174616162,0.02530586526477026,0.0,0.0,0.0,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.9680157139936417,0.0,0.0,0.0,0.0,0.5403294747908738,0.8609366207000937,0.09342168516223506,0.01703333929878037,0.3856062735983121,0.0,0.19865708695442263,0.008600171761917567,2.096284178244864,1.6514718521990424,1.1099158630237933,0.0,0.0,0.06818586174616162,0.8698182079793282,0.0
02H017,0.029383777685209667,0.008600171761917567,0.0,0.10720996964786837,0.004321373782642578,1.3581252852766486,0.0,0.12710479836480765,0.4065401804339551,0.10037054511756291,0.24797326636180664,0.0,0.5132176000679389,0.0,0.0,0.0,0.0,0.0,0.7817553746524689,0.0,0.0,0.0,0.0,1.3378584290410944,0.0,0.0,0.01703333929878037,0.11394335230683678,0.5899496013257077,0.24054924828259971,0.0,0.0,1.0576661039098292,0.17318626841227402,0.0,0.07188200730612536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13987908640123647,0.4548448600085102,0.0,0.02530586526477026,0.0,0.4014005407815441,1.4610480916706579,0.0,0.0,0.0,0.0,0.01703333929878037,0.021189299069938092,0.0,0.04921802267018165,0.0,1.5518158223510157,0.07188200730612536,0.0,0.0,0.41161970596323016,0.0,0.0,0.06445798922691845,0.0,0.0,0.0,0.0,0.0,2.4470804718310024,0.0,0.07918124604762482,0.0,0.0,0.0,0.08635983067474821,1.0338256939533104,0.01703333929878037,0.0,0.0,0.0,1.3811150807098507,0.505149978319906,0.012837224705172217,0.0,0.0,0.0,0.0,0.11058971029924897,0.056904851336472634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3926969532596657,0.0,0.1931245983544616,0.0,0.0,0.0,0.17026171539495738,0.12710479836480765,0.7839035792727349,0.9633155113861113,0.0,0.04139268515822507,0.05307844348341968,0.0,0.0,0.0,0.0,0.0,0.8721562727482928,0.7678976160180907,0.0,0.0,0.0,0.0,0.07554696139253074,0.012837224705172217,0.0,0.012837224705172217,0.9947569445876281,1.5639554649958127,0.0,0.0,0.0,0.20951501454263097,0.0,0.0,0.0,0.8475726591421122,0.1903316981702915,0.04139268515822507,0.0,1.57541879121436,0.03342375548694973,1.0220157398177203,1.5016069224188293,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.800717078282385,1.2837533833325265,0.0,0.0,0.021189299069938092,0.6095944092252201,0.07188200730612536,0.28555730900777376,1.1271047983648077,0.36921585741014284,0.0,0.0,0.9599948383284161,1.7713669708577806,0.11727129565576427,0.0,0.0,0.0,0.02530586526477026,0.0,0.3996737214810381,0.0,0.0,0.0,0.0,0.0,0.7881683711411677,0.03742649794062367,0.0,0.0,0.0,0.30749603791321295,0.9211660506377387,0.320146286111054,0.004321373782642578,0.9350031514536548,0.0,0.1643528557844371,0.008600171761917567,1.3236645356081003,1.586812269443376,1.142389466118836,0.0,0.0,0.22530928172586287,0.7810369386211318,0.0
02H025,0.012837224705172217,0.9350031514536548,0.0,0.1553360374650618,0.0,1.2335037603411345,0.0,0.16731733474817606,0.4623979978989561,0.10037054511756291,0.04139268515822507,0.0,0.8267225201689921,0.0,0.0,0.0,0.0,0.0,0.8915374576725645,0.0,0.0,0.0,0.0,1.1911714557285586,0.0,0.0,0.021189299069938092,0.28103336724772754,0.06818586174616162,0.0,0.0,0.0,1.0557604646877348,0.22271647114758328,0.0,0.0,0.0,0.0,0.04532297878665747,0.0,0.0,0.0,0.0,0.08635983067474821,1.2469906992415498,0.0,0.07188200730612536,0.0,0.0,1.4307198878632823,0.0,0.0,0.0,0.0,0.056904851336472634,0.02530586526477026,0.0,0.04532297878665747,0.0,1.390935107103379,0.012837224705172217,0.0,0.0,0.46089784275654777,0.02530586526477026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1251232725519977,0.0,0.19865708695442263,0.0,0.0,0.0,0.008600171761917567,0.9795483747040951,0.01703333929878037,0.0,0.03742649794062367,0.0,1.4095950193968156,0.04921802267018165,0.004321373782642578,0.0,0.0,0.0,0.0,0.1367205671564068,0.03342375548694973,0.0,0.004321373782642578,0.0,0.05307844348341968,0.0,0.0,0.0,0.0,0.0,0.6304278750250238,0.0,0.23804610312879543,0.0,0.0,0.0,0.7084209001347128,0.056904851336472634,0.7450747915820575,0.8344207036815325,0.0,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.0,1.1293675957229856,0.7185016888672743,0.01703333929878037,0.0,0.0,0.0,0.03742649794062367,0.0,0.0,0.10037054511756291,1.167317334748176,1.4310419453358856,0.0,0.0,0.0,0.3979400086720376,0.0,0.0,0.0,0.9143431571194408,0.04139268515822507,0.01703333929878037,0.0,1.31492005599242,0.08635983067474821,1.039017321997412,1.7971289877965526,0.0,0.004321373782642578,0.01703333929878037,0.0,0.0,0.0,0.7067177823367587,1.1455071714096627,0.0,0.0,0.008600171761917567,0.6693168805661122,0.04139268515822507,0.2576785748691845,0.9726655922661109,0.1367205671564068,0.0,0.0,0.9143431571194408,1.6721902511882525,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9052560487484512,0.03742649794062367,0.0,0.0,0.0,0.8579352647194289,0.8254261177678232,0.056904851336472634,0.008600171761917567,0.1430148002540951,0.0,0.15836249209524964,0.012837224705172217,1.8016094880273188,1.5024271199844328,1.064083435963596,0.0,0.0,0.17318626841227402,1.0034605321095065,0.0
02H026,0.0,0.0,0.0,0.0,0.0,0.8241258339165489,0.0,0.11058971029924897,0.17318626841227402,0.2528530309798932,0.04139268515822507,0.0,0.367355921026019,0.0,0.029383777685209667,0.0,0.0,0.0,1.2778383330020475,0.0,0.0,0.0,0.0,1.316599302093861,0.0,0.0,0.0,0.04532297878665747,0.12710479836480765,0.5403294747908738,0.0,0.0,0.9405164849325671,0.17318626841227402,0.0,0.021189299069938092,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.19865708695442263,0.0,0.021189299069938092,0.0,0.0,1.163757523981956,0.0,0.0,0.0,0.0,0.04139268515822507,0.09691001300805642,0.0,0.0,0.0,1.3651134316275773,0.012837224705172217,0.012837224705172217,0.0,0.5490032620257879,0.0,0.0,0.056904851336472634,0.0,0.0,0.0,0.0,0.0,2.1102192236894037,0.0,0.4742162640762552,0.0,0.0,0.0,0.04532297878665747,1.1972805581256194,0.0,0.0,0.0,0.0,0.9138138523837167,0.12710479836480765,0.05307844348341968,0.0,0.0,0.012837224705172217,0.0,0.10037054511756291,0.03342375548694973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03742649794062367,0.0,0.21748394421390624,0.0,0.17897694729316943,0.0,0.0,0.0,0.46089784275654777,0.09342168516223506,0.5797835966168101,0.829946695941636,0.0,0.004321373782642578,0.02530586526477026,0.0,0.0,0.0,0.0,0.0,0.785329835010767,0.5211380837040362,0.0,0.0,0.0,0.0,0.04139268515822507,0.0,0.0,0.1430148002540951,1.6966184592322249,1.4776999283321308,0.0,0.0,0.0,0.06818586174616162,0.0,0.0,0.0,0.9429995933660404,0.08635983067474821,0.008600171761917567,0.0,1.7075701760979363,0.0,0.7860412102425542,1.0718820073061255,0.0,0.004321373782642578,0.22530928172586287,0.0,0.0,0.0,0.5502283530550941,1.3736474722092178,0.03342375548694973,0.0,0.004321373782642578,0.5171958979499743,0.04139268515822507,0.08635983067474821,0.7846172926328754,0.3010299956639812,0.0,0.0,1.2518814545525276,1.6506959797606109,0.004321373782642578,0.04921802267018165,0.0,0.0,0.0,0.0,0.08990511143939793,0.0,0.0,0.0,0.0,0.0,0.8426092396105621,0.12710479836480765,0.0,0.0,0.0,0.21748394421390624,0.7810369386211318,0.029383777685209667,0.0,0.31175386105575426,0.0,0.05307844348341968,0.004321373782642578,1.4944328987263986,1.833784374656479,0.9991305412873711,0.0,0.0,0.08990511143939793,0.651278013998144,0.0
02H033,0.021189299069938092,0.012837224705172217,0.0,0.11058971029924897,0.0,0.9609461957338314,0.0,0.13987908640123647,0.36921585741014284,0.5065050324048721,0.39093510710337914,0.0,0.7664128471123994,0.0,0.03342375548694973,0.0,0.0,0.0,1.184975190698261,0.0,0.0,0.0,0.0,1.4614985267830187,0.0,0.0,0.07554696139253074,0.04921802267018165,0.271841606536499,0.7427251313046983,0.0,0.0,0.9863237770507653,0.20139712432045143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31806333496276157,0.0,0.08635983067474821,0.0,0.0,1.2871296207191107,0.0,0.0,0.0,0.0,0.06445798922691845,0.20139712432045143,0.0,0.0,0.0,1.221153321954705,0.029383777685209667,0.01703333929878037,0.0,0.6522463410033232,0.05307844348341968,0.0,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,2.170379076423074,0.0,0.4742162640762552,0.0,0.0,0.0,0.07918124604762482,1.2227164711475833,0.03342375548694973,0.0,0.0,0.0,0.7226339225338123,0.09691001300805642,0.012837224705172217,0.0,0.0,0.0,0.0,0.056904851336472634,0.04532297878665747,0.0,0.0,0.0,0.03342375548694973,0.0,0.012837224705172217,0.0,0.021189299069938092,0.008600171761917567,0.4941545940184428,0.0,0.2148438480476979,0.0,0.0,0.0,0.6665179805548809,0.11727129565576427,0.7218106152125465,1.0674428427763807,0.0,0.0,0.04139268515822507,0.0,0.0,0.0,0.0,0.0,0.9084850188786497,0.741151598851785,0.0,0.0,0.0,0.0,0.04921802267018165,0.0,0.012837224705172217,0.287801729930226,1.566083784167996,1.6259294927162946,0.0,0.021189299069938092,0.0,0.13353890837021748,0.0,0.0,0.0,0.7505083948513462,0.3996737214810381,0.02530586526477026,0.0,1.8855873561896561,0.02530586526477026,1.0595634179012676,1.247236549506764,0.0,0.004321373782642578,0.04921802267018165,0.0,0.0,0.0,0.7474118078864233,1.467460109507264,0.05307844348341968,0.0,0.0,0.5526682161121932,0.0,0.07188200730612536,1.0301947853567512,0.31806333496276157,0.02530586526477026,0.0,1.4944328987263986,1.6011905326153335,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,0.49554433754644844,0.0,0.0,0.0,0.0,0.0,0.9009130677376691,0.0,0.0,0.0,0.0,0.367355921026019,0.951823035315912,0.0,0.029383777685209667,0.17026171539495738,0.0,0.17026171539495738,0.0,1.5122840632818535,1.7270530113538574,1.106870544478654,0.0,0.0,0.03742649794062367,0.8481891169913987,0.0
02H043,0.0,0.9795483747040951,0.0,0.11394335230683678,0.0,1.1997551772534747,0.0,0.07918124604762482,0.21748394421390624,0.290034611362518,0.22010808804005513,0.0,0.07554696139253074,0.0,0.17318626841227402,0.0,0.0,0.0,0.9122220565324155,0.0,0.0,0.0,0.0,1.24551266781415,0.0,0.0,0.2671717284030138,0.05307844348341968,0.146128035678238,0.1553360374650618,0.0,0.0,0.9973863843973133,0.18752072083646307,0.0,0.0,0.0,0.01703333929878037,0.0,0.0,0.0,0.0,0.0,0.06069784035361165,1.2284003587030048,0.0,0.06445798922691845,0.0,0.0,1.2268575702887234,0.0,0.0,0.04139268515822507,0.0,0.06069784035361165,0.012837224705172217,0.0,0.04921802267018165,0.0,1.4454485142660498,0.01703333929878037,0.0,0.0,0.46089784275654777,0.0,0.0,0.03342375548694973,0.0,0.0,0.0,0.0,0.004321373782642578,2.0184092073820685,0.0,0.1643528557844371,0.0,0.0,0.0,0.008600171761917567,0.791690649020118,0.012837224705172217,0.0,0.021189299069938092,0.0,1.3673559210260189,0.04921802267018165,0.01703333929878037,0.0,0.0,0.008600171761917567,0.0,0.07188200730612536,0.03342375548694973,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.0,0.0,0.0,0.23299611039215382,0.0,0.2741578492636798,0.0,0.0,0.0,0.39093510710337914,0.10380372095595687,0.6618126855372612,0.850033257689769,0.0,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.951823035315912,0.6503075231319365,0.0,0.0,0.0,0.0,0.03342375548694973,0.0,0.0,0.02530586526477026,1.082066934285113,1.3968964491425238,0.0,0.0,0.0,0.28103336724772754,0.0,0.0,0.0,1.0955180423231508,0.004321373782642578,0.029383777685209667,0.0,1.1034616220947049,0.01703333929878037,0.9143431571194408,1.8374621714859947,0.0,0.004321373782642578,0.05307844348341968,0.0,0.0,0.05307844348341968,0.69284691927723,1.2352758766870524,0.0,0.0,0.0,0.5899496013257077,0.10380372095595687,0.03342375548694973,1.0948203803547998,0.08278537031645007,0.02530586526477026,0.0,1.0659529803138696,1.7268901407418216,0.0,0.0,0.004321373782642578,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8027737252919757,0.07918124604762482,0.0,0.0,0.0,0.7193312869837267,0.8034571156484139,0.06069784035361165,0.01703333929878037,0.6053050461411094,0.0,0.15836249209524964,0.04532297878665747,2.2174312992678566,1.6311392502568112,1.132579847659737,0.0,0.0,0.07188200730612536,0.890979596989689,0.0
02H046,0.004321373782642578,0.1903316981702915,0.0,0.0,0.0,1.0937717814987298,0.0,0.24797326636180664,0.6294095991027189,0.6344772701607316,0.46089784275654777,0.0,0.7185016888672743,0.0,0.04139268515822507,0.0,0.0,0.0,0.8337843746564789,0.0,0.0,0.0,0.0,1.380211241711606,0.0,0.0,0.01703333929878037,0.33243845991560533,0.16731733474817606,0.7520484478194386,0.0,0.0,1.2340108175871793,0.1903316981702915,0.0,0.0,0.0,0.0,0.021189299069938092,0.01703333929878037,0.0,0.0,0.0,0.029383777685209667,0.6937269489236468,0.0,0.03342375548694973,0.0,0.0,1.293141483450931,0.0,0.0,0.01703333929878037,0.0,0.029383777685209667,0.004321373782642578,0.0,0.0,0.0,1.5953859808091417,0.0,0.0,0.0,0.5563025007672873,0.0,0.0,0.07918124604762482,0.0,0.0,0.0,0.0,0.0,2.378288859356929,0.0,0.15228834438305647,0.0,0.0,0.0,0.06818586174616162,1.3226327116922234,0.008600171761917567,0.0,0.17609125905568124,0.0,1.4046627008737222,0.4899584794248346,0.012837224705172217,0.0,0.0,0.008600171761917567,0.0,0.14921911265537988,0.008600171761917567,0.0,0.0,0.0,0.02530586526477026,0.0,0.0,0.0,0.029383777685209667,0.004321373782642578,0.6522463410033232,0.0,0.3159703454569178,0.0,0.0,0.0,0.21218760440395779,0.28330122870354957,0.9400181550076633,1.3070679506612983,0.0,0.0,0.13987908640123647,0.0,0.008600171761917567,0.0,0.0,0.0,1.5016069224188293,0.8842287696326039,0.0,0.0,0.0,0.0,0.09691001300805642,0.0,0.01703333929878037,0.16136800223497488,1.052693941924968,1.808481056565951,0.0,0.0,0.0,0.359835482339888,0.0,0.0,0.0,1.0017337128090005,0.9278834103307069,0.0,0.0,1.3209766773428235,0.05307844348341968,1.0916669575956846,2.014352500651009,0.0,0.004321373782642578,0.056904851336472634,0.0,0.0,0.0,0.9845273133437926,1.408748606184244,0.0,0.0,0.0,0.7160033436347992,0.07918124604762482,0.3424226808222063,1.29754166781816,0.04139268515822507,0.02530586526477026,0.0,1.1613680022349748,1.776773802412107,0.0,0.0,0.0,0.0,0.04139268515822507,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.9698816437464999,0.0,0.0,0.0,0.0,1.1501421618485586,0.9978230807457255,0.021189299069938092,0.004321373782642578,0.30319605742048883,0.0,0.36548798489089973,0.0,2.041747871723266,1.4641913706409997,1.0863598306747482,0.04532297878665747,0.0,0.08990511143939793,1.153814864344529,0.0
