,U3,LBHD1,POM121L3P,AC104076.1,AC023355.1,LNCNEF,TRGV2,DSCR9,TMED1,LINC02267,RNU6_307P,PDLIM1P3,CDX1,AC010463.1,ST6GALNAC4P1,RAD23BP3,FAM222B,AC027612.2,MKX,RN7SKP180,CLIP3,AL451042.1,LINC01478,FGFRL1,AC018761.2,OR7E158P,AC091152.1,RHOXF1P3,PCDHAC2,TIGD3,LINC02366,RPL7AP69,AL359538.4,AC107954.1,AC147651.1,AC025268.1,PDZRN4,CALML6,AL365434.2,AL355990.2,AC068790.2,AC005753.3,CBWD6,AC108457.1,AC108477.2,CALB1,AC004982.2,MAOA,NPIPB15,MAML1
01H001,0.05307844348341968,0.0,0.0,0.26481782300953643,0.42813479402878873,1.4795753101749884,0.0,0.9647309210536293,0.0,0.0,0.0,0.0,0.021189299069938092,0.0,0.0,0.03742649794062367,0.0,0.24054924828259971,0.17897694729316943,0.23552844690754893,1.7741518589547105,0.4638929889859073,0.0,0.0,0.0,1.7708520116421442,0.4099331233312946,0.0,0.48287358360875376,0.3521825181113625,0.3996737214810381,0.9111576087399766,1.565729787831127,1.6645479622465467,0.0,0.2576785748691845,0.9180303367848802,0.08278537031645007,0.0,0.8109042806687004,1.2583978040955086,2.2566455980444524,0.0,0.0,0.056904851336472634,0.01703333929878037,0.14921911265537988,0.6324572921847242,0.0,0.0
01H002,0.021189299069938092,0.0,0.0,0.06818586174616162,0.37657695705651195,1.0711452904510828,0.0,0.5740312677277188,0.0,0.0,0.04139268515822507,0.0,0.01703333929878037,0.0,0.0,0.17897694729316943,0.0,0.17318626841227402,0.26481782300953643,0.29885307640970665,1.3287872003545347,0.0,0.0,0.0,0.008600171761917567,0.8987251815894934,0.17318626841227402,0.0,1.129045059887958,0.004321373782642578,0.10380372095595687,0.7795964912578245,1.7408362070573116,1.1758016328482794,0.0,0.1367205671564068,0.029383777685209667,0.02530586526477026,0.0,0.5185139398778874,0.5820633629117087,1.8497878242376855,0.0,0.0,0.04139268515822507,0.0,0.07918124604762482,0.20951501454263097,0.0,0.0
02H003,0.008600171761917567,0.0,0.0,0.05307844348341968,0.5378190950732742,1.1109262422664203,0.0,0.7347998295888469,0.0,0.0,0.05307844348341968,0.0,0.021189299069938092,0.0,0.0,0.17609125905568124,0.0,0.08635983067474821,0.6522463410033232,0.36921585741014284,1.613418945034573,0.008600171761917567,0.0,0.0,0.0,1.2479732663618066,0.34830486304816066,0.0,0.271841606536499,0.04532297878665747,0.1367205671564068,1.0417873189717517,1.7083359026822635,1.2617385473525378,0.0,0.4132997640812518,0.03742649794062367,0.146128035678238,0.0,0.8241258339165489,0.6757783416740851,1.974143099902215,0.0,0.008600171761917567,0.08278537031645007,0.0,0.07918124604762482,0.004321373782642578,0.0,0.0
02H009,0.0,0.0,0.0,0.146128035678238,0.3159703454569178,1.0374264979406236,0.0,0.8305886686851442,0.0,0.0,0.06069784035361165,0.0,0.03742649794062367,0.0,0.0,0.32633586092875144,0.0,0.11394335230683678,0.45636603312904306,0.290034611362518,1.4186326873540653,0.0,0.0,0.0,0.0,1.3224260524059526,0.2741578492636798,0.0,1.298197867109815,0.0,0.13987908640123647,0.9708116108725178,1.893928126542607,1.4224256763712047,0.0,0.44560420327359757,0.10380372095595687,0.10380372095595687,0.0,0.7209857441537391,0.8674674878590515,2.359569893603762,0.0,0.0,0.10720996964786837,0.0,0.31386722036915343,0.17609125905568124,0.0,0.0
02H017,0.008600171761917567,0.0,0.0,0.17318626841227402,0.6711728427150833,1.1341771075767664,0.0,0.8095597146352678,0.0,0.0,0.02530586526477026,0.0,0.0,0.0,0.0,0.23552844690754893,0.0,0.06069784035361165,0.658964842664435,0.26481782300953643,1.6406801532776651,0.029383777685209667,0.0,0.0,0.0,1.4510184521554574,0.250420002308894,0.0,1.3057811512549822,0.0,0.13353890837021748,0.8904210188009143,1.800510876894368,1.5129510799724906,0.0,0.26245108973042947,0.11058971029924897,0.08635983067474821,0.0,0.7497363155690611,0.7958800173440752,2.6900897091706764,0.0,0.0,0.03342375548694973,0.0,0.19589965240923368,0.3053513694466238,0.0,0.0
02H025,0.012837224705172217,0.0,0.0,0.07918124604762482,0.146128035678238,1.1687920203141817,0.0,0.7923916894982539,0.0,0.012837224705172217,0.01703333929878037,0.0,0.01703333929878037,0.0,0.0,0.09342168516223506,0.021189299069938092,0.07188200730612536,0.3283796034387377,0.1553360374650618,1.448087666692341,0.0,0.0,0.03742649794062367,0.0,1.5150786750759226,0.4132997640812518,0.0,0.7788744720027395,0.0,0.13033376849500614,1.0064660422492318,1.7423322823571483,1.2753113545418118,0.0,0.2741578492636798,0.03342375548694973,0.1903316981702915,0.0,0.6857417386022636,0.7151673578484579,2.0811672147134725,0.0,0.0,0.05307844348341968,0.0,0.11727129565576427,0.01703333929878037,0.0,0.0
02H026,0.008600171761917567,0.0,0.0,0.07918124604762482,0.3996737214810381,1.1522883443830565,0.0,0.44560420327359757,0.0,0.0,0.07554696139253074,0.0,0.0,0.0,0.0,0.1846914308175988,0.0,0.07918124604762482,0.13033376849500614,0.1430148002540951,1.2185355052165279,0.0,0.0,0.0,0.0,1.0927206446840991,0.09691001300805642,0.0,0.8779469516291882,0.0,0.292256071356476,0.6253124509616739,1.8875047742353779,1.105510184769974,0.0,0.17609125905568124,0.0,0.056904851336472634,0.0,0.4712917110589386,0.8129133566428556,2.549714235679461,0.0,0.0,0.07188200730612536,0.0,0.06069784035361165,0.17897694729316943,0.0,0.10380372095595687
02H033,0.004321373782642578,0.0,0.0,0.18752072083646307,0.13033376849500614,1.0409976924234905,0.0,0.7201593034059569,0.0,0.0,0.0,0.0,0.01703333929878037,0.004321373782642578,0.0,0.1553360374650618,0.0,0.021189299069938092,0.13353890837021748,0.37474834601010387,1.4622482153549974,0.01703333929878037,0.0,0.0,0.0,1.1319392952104246,0.35602585719312274,0.0,0.8318697742805017,0.0,0.1367205671564068,0.8506462351830666,1.7811088357294664,1.3049211619008918,0.0,0.44404479591807633,0.12710479836480765,0.029383777685209667,0.0,0.6532125137753437,0.9804578922761,2.5452699956929563,0.0,0.0,0.07918124604762482,0.0,0.04139268515822507,0.6875289612146344,0.0,0.0
02H043,0.004321373782642578,0.0,0.0,0.10037054511756291,0.26245108973042947,0.9863237770507653,0.0,0.4132997640812518,0.0,0.0,0.056904851336472634,0.0,0.0,0.0,0.0,0.08990511143939793,0.0,0.02530586526477026,0.42324587393680785,0.17026171539495738,1.361160995195026,0.0,0.0,0.04139268515822507,0.0,1.3708830167776058,0.271841606536499,0.0,1.1351326513767748,0.0,0.0,0.8463371121298052,1.6962689967455327,1.423245873936808,0.0,0.4099331233312946,0.13353890837021748,0.06069784035361165,0.0,0.6148972160331346,0.6242820958356683,2.0390570180334437,0.0,0.0,0.07554696139253074,0.0,0.04921802267018165,0.10720996964786837,0.0,0.0
02H046,0.03342375548694973,0.0,0.0,0.1367205671564068,0.23552844690754893,1.2081725266671217,0.0,0.5390760987927766,0.0,0.0,0.10380372095595687,0.0,0.02530586526477026,0.0,0.0,0.06445798922691845,0.0,0.08278537031645007,0.5250448070368452,0.33243845991560533,1.7952541825808828,0.0,0.0,0.0,0.021189299069938092,1.2467447097238413,0.43136376415898736,0.0,0.4329692908744057,0.008600171761917567,0.287801729930226,1.1166077439882485,1.9308981144101045,1.604657972047871,0.0,0.250420002308894,0.0,0.146128035678238,0.0,0.7331972651065695,0.8943160626844384,2.2095954320008557,0.0,0.0,0.021189299069938092,0.0,0.08278537031645007,0.6106601630898799,0.0,0.0
