,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
01H001,-0.2787013510413491,27.013981191638806,-9.768574476637088,11.7451520913126,-9.789029734487686,-5.557064701394119,3.5198361696161067,-5.641033654636611,-5.989738804062207,8.766239849097843,3.3946673215860796,1.0588840913887443,0.4134321172542865,0.5917677175323081,0.3522590765549274,-5.15907775041995,3.6894182316349977,1.3770561245808444,-6.054958178940071,3.2001133826645933,-0.5971545186446601,-2.1813480178698588,-1.1444643367587592,-0.4341493499187264,-6.126827152970507,1.4509977693944724,-2.2894167497225704,0.6656406253650677,-4.883858716834634,4.23082808805005,-3.174173230806862,2.2353921910899106,3.314210484488574,-0.4206681841346019,5.2951572138249325,-1.3890603269485369,0.7010865084319187,1.8695728736695845,3.164744092052435,0.04789347140891975,-3.0397566069968662,-0.5469931325944014,-2.553774512367005,0.2893495795157422,-0.5150619184057748,-4.807712766280169,-2.200429756530556,-3.5497513541859433,1.2397673334342918,-1.0675489643732594
01H002,27.465502612453054,1.582465970629258,-6.704833279834807,-25.294675921934637,-0.7966689020172271,2.1074199144540144,6.233932339898954,-4.405613425135179,6.772987374008366,1.3557307909070255,7.5038208120215275,-0.47016979890384436,3.619994127814933,-5.70368406707255,0.69966047533143,0.5687547282930698,1.181410121025849,-1.702526445295155,2.154901416112814,-2.699899385094311,0.8357332812922218,2.521305782160376,-1.4392097971477091,-0.07426321575302676,-0.17082390025356953,-0.45236847427844507,0.357739594335021,-1.2041023479982267,1.4495299546015168,1.949306722183858,0.9438420484003001,-0.2094392971070011,0.7442674416891408,-0.2211342701235957,0.4041547158558958,-0.8850006582998393,0.443334067077614,0.8705996858128997,-1.354821115890397,2.1943369262482775,-1.7732075115566441,1.3728530070751237,-0.01634337942476377,0.841072863066356,-0.5313488193788208,-0.6404805776353747,-2.890662387999652,1.0688998580378946,-0.5077651019603131,0.7101184293330299
02H003,13.003184929526308,-7.3340076187445895,2.36365015867729,-6.347033835359358,-7.62993886004613,-6.192881579188635,1.579032601374919,2.120162906922231,-0.6136765433236057,-1.5764123466876803,9.92714847307942,-2.167970860765536,10.426642024980309,-6.822493934819899,6.512114067585912,-3.867031393729799,-7.480957562882222,-3.1353429470345544,-0.8297594145700569,-0.6775343211060584,-0.7290454214671833,-2.2926127618486984,-0.3347700670683429,2.6281618751757736,-6.064618522184986,-5.46379730258971,3.8740885990295073,0.2524608371853778,-1.2184671591760208,-0.8828543487037356,5.82433604522534,6.730219439384441,2.4974670236164966,-1.5546277360279914,1.2792470874228474,0.19085852846901635,0.9212159984463726,2.3644259182541747,0.1513266489766359,1.8677338374537453,-1.36557309284595,2.160654725827504,-0.5678110405867722,0.35797899652258014,-2.4034764303580216,0.087083272755346,0.6688015398473252,-1.5308931094458915,-0.9568703595652277,-1.1196188576401034
02H009,9.70147622370142,-6.064387973128293,-14.953534524490955,-7.61543492443407,-7.392485085503833,-1.7749691259236895,-3.7306802479136674,-2.691426863309297,14.21779619349741,0.5073176477470205,-0.458694609931895,3.291423076465693,-0.8834907413076083,-1.0749769766964203,-0.5321656856755461,-1.101804020034598,-2.1075507101088613,-4.275357920084401,2.0449952761161327,-3.2719713461965645,1.5478552278331492,0.5651452744615232,3.6138446559732107,-2.4537841796213735,-3.6668115861506045,3.118123026354793,0.40499638704547264,2.419982500996791,-0.5296094159960485,0.9802078109153363,1.9791421093296098,4.3390618238355465,-0.20330349636982814,2.1118146829963407,-0.6890136056702745,0.9297777999181722,-0.7498624876855399,-2.0584752699741533,-2.714599563566187,2.90144051558292,0.3523066934903193,-1.0637495699533095,0.6338403840989909,1.1606594828712686,-3.3081550397572097,0.669254235985627,-3.327354628163764,0.7984275393628816,0.8913696921943073,-1.649755258142342
02H017,10.046024797139896,5.493694842151024,-16.047680706552008,-15.090026525989742,-11.075452039016113,-0.744676665466409,3.643200027500871,8.437338105009365,4.31312956140993,6.596371343111361,-0.2582242803894127,-4.051164129943338,7.743873501952796,-5.306622584850744,6.430862737966131,2.8928148885025076,-0.8188272854861018,-8.335332738545318,1.88703285450169,-0.4355032062973071,4.389470996653342,-2.874564122218359,4.16369838373519,0.322098993771346,-4.511966328188669,-0.9225064932599616,-2.7925097374584724,3.410493358680097,2.322821551317885,5.868792020692805,3.0819043677085767,10.675774127473101,0.983304737172398,1.6349785370790006,1.6027185631685525,-2.484415281804421,-1.105120036165839,-1.601645756676955,-1.803318547494356,1.7830777462866316,-2.477257594352539,-1.0190949412589176,2.0574062159688236,2.0830530494510775,-0.027245171478764874,-1.8284363156834011,2.183942607785477,2.115494758425516,-2.5284811803804654,5.073229243495943
02H025,12.95227416242829,-6.392861274757855,-7.962696881605643,-3.8497865536204023,-7.714241884737823,-11.550301448882731,-6.281349705690184,-3.5653465505552435,10.321111484653896,5.397068440326213,12.69698585461055,-0.9714952787816585,1.2545434535842768,-6.411565618318349,0.43178565010059095,1.8879984842184747,-2.906676621294966,-4.6490995907998185,4.022780664279088,-3.9124112935572235,3.181056207642472,3.0375764997659482,-0.9599251334509821,1.6099288516784003,-4.0406978256895005,1.018959885919235,3.9987586217302806,0.6079761642946093,0.40489607655463844,-2.088939707787911,1.3213320102566883,0.0007807973860367579,0.6850981327386003,0.2883823911807877,-0.41688341864447387,-1.9501827114082877,-1.0997489494881982,1.0410358112070863,-0.34577567369000684,1.327594568005602,1.0493615992993492,0.5239197849282549,0.24072329664492303,-0.8238011658583282,-1.211796264192028,-1.3531366053908265,-3.31027087832659,0.9850263043762683,-2.007383352838925,-0.03223177957914708
02H026,26.50132527313934,14.513266978181443,-15.99109761557149,-15.124801078339576,-5.854092755199552,4.800241466541692,-3.3755774611982527,5.266245227359724,4.937295908143134,2.6699506135539286,6.051756925914105,5.788120636402272,2.693334911229269,-0.48885063653547056,-1.7433677460284613,-7.758610940910754,-4.490955552508557,-5.247119677048963,2.811360087972132,-7.366190569980981,-0.00781547609268679,2.1740254328777886,2.5555434669908976,-2.3028187310287533,-0.9927233526276209,5.293630628036623,1.6372745737891754,-3.6492481095119373,2.3828749288396884,0.4940941457647684,2.875440669704908,-2.72185318679955,-3.2135067866394307,-0.6617481174975455,-3.027441721854038,0.43763928098075455,2.1289829108167604,-3.1179513876345974,-0.9323608471246265,-1.5977070988991813,-1.1920567622741207,-2.1738833853721595,-1.5370639092745444,-1.9432614965472719,-0.311241119305632,-0.8285153103097742,-0.15965129102415998,1.7688548431089437,-3.5461585520027334,0.5365086764087437
02H033,13.990334420302908,17.79017849942645,-18.296075928510607,-9.637132608835385,-2.0297732008577722,2.5927386782632578,-2.1673888543469557,0.8802236763646509,2.48001642376841,3.9814995049991566,3.7173363504782646,2.526965331681782,2.2443507062048837,-0.7895967827802297,1.521429373261499,-5.226330523040968,-2.962072910859607,-3.877126240866567,0.6153903980049671,-4.748062835830423,0.39093097294251933,2.7224989669454613,6.295634170690877,-0.9039330655998511,-0.31958938490921973,3.722435600465937,1.7910236725904882,-3.091470758999263,0.5432136606734035,-1.6003657041013528,0.13986624831196326,-3.6597334240831425,1.5899519118981011,-0.07506021788622214,-1.9474197522165442,1.1810169221385756,3.844848686658306,-3.4339965405761896,-2.4450094636457718,-4.715620904441966,-0.43426396532575123,-1.0360322771427226,-1.330379885189106,-0.2797189086643642,0.5619546569854705,-2.5772344580794453,0.7943481726872579,0.7832311757555566,-3.357587719381544,0.18974806725966875
02H043,16.90208089179412,-10.037023323902403,-12.701805018719135,-6.515209276611801,-11.30832530310596,-8.828136714914754,-4.723186029189676,-5.127172931487684,14.244160984689092,8.235231854558952,8.46611427605943,1.4626763976905042,-1.6761355547438765,-2.14677670225811,-0.44996275482812814,-2.0388648092667827,-3.3222861263521004,-4.289850913736909,1.540870682492356,-3.9412940592027867,2.274773312772848,3.4190626967557884,3.2758954303192693,-1.7934748574120951,-3.836790066531054,2.7746676176363074,1.0459077926640064,3.4899953892393953,-0.32780351158738485,1.3080738291956473,2.9290761216206285,3.0148553639136946,1.4495682937996455,1.7709765060987266,-0.19317025284147182,1.099515769280453,-0.3544681204436499,-0.7180495138995355,0.4647853200644315,2.0938582434975332,0.3613515648516927,-0.34400178335482984,-1.41968619525008,-0.12747142858374455,-1.9588101146555958,-1.3343601981993727,-2.0781697818744616,0.2828259478463789,-0.026163529097845667,-3.5467464177409314
02H046,-0.41305634552799897,-4.365868838587955,-13.907290761821852,-14.451976090248253,-1.7876017224016039,0.15731194604379384,14.475892578160453,-5.628744608638568,3.4465320400155135,2.9874354717023754,12.689131693117321,-7.671898781411632,-0.0012087988319756035,-0.365090042411362,2.345346751840291,-0.9516112235862713,-2.2179791739847197,-0.9522651841263889,1.7712350616769332,2.134406471077928,7.15827677418765,2.3733025912285712,0.7829340851114714,-0.0032394936351576586,-0.8836304201624084,-2.984880840764,-3.3141962753184435,1.7584070027885292,1.4219222939918428,-0.9204244718059187,0.4409253928047556,-2.887683088586562,4.480248095721748,-2.768717128910113,2.4178233023485687,-1.4611451819064654,-1.9126501541099423,-0.7867768976371848,0.495612083260914,-0.5494898395391592,-0.33034429488904826,1.5136402603084518,1.4659445540052785,-0.7352075193317833,-2.6054341268546386,0.8592552772613133,-3.1530997053369663,2.0604403763334656,-1.2914186254024036,0.37645248122235253
