,TMEM50A,DPEP2,TMEM107,GGH,ALG9_IT1,AC068790.3,BX470111.1,AC011389.1,ACVR1C,CDY14P,TNPO3,RPS27AP10,AC008728.1,AC068790.9,PLPP1,AC006205.1,AC106785.1,ZNF70,ELF2P3,SIN3A,DDTP1,NUDT15,TIGD3,AC007450.3,MTND4P29,AC099654.1,AL356299.2,C19orf18,RNU6_1157P,GPS2P2,MIR548AA1,AC109458.2,AC135166.1,APLP2,AC138907.2,AC022182.1,AC084876.2,U2,AP000428.1,DBIL5P,RNU6_431P,AC053513.1,USP12_AS1,MPHOSPH10,AC024580.2,GOLGA6L16P,AC090502.2,AC145625.2,ZNF442,CHRM3_AS2
01H001,0.04139268515822507,0.004321373782642578,0.4712917110589386,0.4099331233312946,1.6929350025311378,0.0,0.021189299069938092,0.2787536009528289,0.0,0.0,0.0,0.0,0.029383777685209667,0.6776069527204931,0.0,0.008600171761917567,0.0,0.0,0.0,0.01703333929878037,0.12710479836480765,0.004321373782642578,0.0,0.0,0.0,0.20682587603184968,0.0,0.0,0.02530586526477026,0.3053513694466238,1.3930484664167782,0.6031443726201823,0.0,1.474944335465388,2.3112026989507597,0.004321373782642578,0.5954962218255742,0.24303804868629442,0.0,1.6907275438703668,0.0,0.0,0.0,0.8639173769578605,0.0,0.0,0.0,1.2979792441593623,0.0,1.3575537197430816
01H002,0.0,0.0,0.03742649794062367,0.2304489213782739,1.4992745818922173,0.0,0.029383777685209667,0.012837224705172217,0.0,0.0,0.0,0.0,0.03342375548694973,4.538563680577491,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4409090820652177,0.28103336724772754,1.220631019448092,0.3222192947339193,0.0,0.885361220031512,1.6644539285811575,0.0,1.2844307338445196,0.0,0.004321373782642578,1.0689276116820718,0.0,0.0,0.004321373782642578,0.13353890837021748,0.0,0.01703333929878037,0.0,2.027838678188945,0.0,1.3675422735205767
02H003,0.0,0.0,0.08278537031645007,0.320146286111054,1.284881714655453,0.0,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.004321373782642578,2.1271047983648077,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.0,0.0,0.6454222693490919,0.2304489213782739,1.2805783703680762,0.5786392099680724,0.0,1.0655797147284485,2.041155732629712,0.004321373782642578,0.8524799936368563,0.0,0.0,1.255995726722402,0.0,0.0,0.0,0.16136800223497488,0.0,0.0,0.0,2.2789364233010994,0.0,1.3594560201209867
02H009,0.0,0.004321373782642578,0.146128035678238,0.2695129442179163,1.563599728881531,0.0,0.056904851336472634,0.021189299069938092,0.0,0.0,0.0,0.0,0.04532297878665747,2.1955952630055253,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.06069784035361165,0.0,0.0,0.0,0.004321373782642578,0.04921802267018165,0.0,0.004321373782642578,0.7134905430939424,0.5237464668115644,1.3723595825243238,0.4593924877592308,0.0,0.9726655922661109,1.8288531596766402,0.008600171761917567,1.089905111439398,0.0,0.0,1.2711443179490782,0.0,0.0,0.004321373782642578,0.36548798489089973,0.0,0.04921802267018165,0.0,1.9668922958671364,0.0,1.4875625602563782
02H017,0.0,0.0,0.08278537031645007,0.32428245529769273,1.4487063199050798,0.0,0.01703333929878037,0.1367205671564068,0.0,0.0,0.0,0.0,0.04532297878665747,3.504476299636996,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.10380372095595687,0.0,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,0.8254261177678232,0.3944516808262163,1.248463717551032,0.3820170425748684,0.0,0.9749719942980689,1.647089428716555,0.012837224705172217,1.2397998184470986,0.0,0.008600171761917567,1.3255156633631482,0.0,0.0,0.008600171761917567,0.31386722036915343,0.0,0.056904851336472634,0.0,1.8494808372439862,0.0,1.4089180208467798
02H025,0.0,0.13987908640123647,0.08278537031645007,0.3521825181113625,1.1956229435869368,0.0,0.24054924828259971,0.029383777685209667,0.0,0.0,0.0,0.0,0.012837224705172217,2.9415760254081116,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,0.11058971029924897,0.0,0.0,0.0,0.0,0.01703333929878037,0.0,0.0,0.06445798922691845,0.42488163663106704,1.3794868137172738,0.5599066250361124,0.0,0.8450980400142568,1.5164031484474032,0.0,1.024895960107485,0.0,0.3344537511509309,1.2203696324513944,0.0,0.0,0.004321373782642578,0.14921911265537988,0.0,0.0,0.0,1.6759615496421694,0.0,1.5461723683169426
02H026,0.0,0.0,0.04139268515822507,0.18752072083646307,1.5964871337365443,0.0,0.09691001300805642,0.08278537031645007,0.0,0.0,0.0,0.0,0.02530586526477026,4.35498958522064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03342375548694973,0.0,0.0,0.416640507338281,0.2695129442179163,1.376576957056512,0.22788670461367355,0.0,0.8135809885681919,2.0283678836970616,0.004321373782642578,1.3392526340326996,0.0,0.0,1.207095540419218,0.0,0.0,0.0,0.17609125905568124,0.0,0.0,0.0,1.8833206783829752,0.0,1.660201201380682
02H033,0.0,0.0,0.02530586526477026,0.28330122870354957,1.583878598498626,0.0,0.18184358794477254,0.09342168516223506,0.0,0.0,0.0,0.0,0.02530586526477026,3.9586016255467973,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.01703333929878037,0.0,0.0,0.0,0.0,0.07188200730612536,0.0,0.0,0.4653828514484183,0.26007138798507473,1.360971883725936,0.2695129442179163,0.0,1.000867721531227,1.9238654751855016,0.004321373782642578,1.1911714557285586,0.0,0.0,1.2329961103921538,0.0,0.0,0.0,0.5538830266438743,0.0,0.04921802267018165,0.0,1.8547916940539855,0.008600171761917567,1.7616271845615827
02H043,0.0,0.029383777685209667,0.10037054511756291,0.32428245529769273,1.2650537885040147,0.0,0.04532297878665747,0.012837224705172217,0.0,0.0,0.0,0.0,0.01703333929878037,1.7113853790984517,0.0,0.0,0.0,0.0,0.0,0.0,0.04921802267018165,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,0.0,0.02530586526477026,0.5250448070368452,1.320354032817672,0.5065050324048721,0.0,0.8463371121298052,1.3602146132953523,0.004321373782642578,0.9201233262907239,0.03342375548694973,0.0,1.2140486794119414,0.0,0.0,0.0,0.10037054511756291,0.0,0.02530586526477026,0.0,1.531095546870028,0.0,1.5482665451707454
02H046,0.0,0.012837224705172217,0.1643528557844371,0.36921585741014284,1.565729787831127,0.0,0.07188200730612536,0.04532297878665747,0.0,0.0,0.0,0.0,0.021189299069938092,2.2966871237724016,0.0,0.04532297878665747,0.0,0.0,0.0,0.0,0.04139268515822507,0.0,0.0,0.0,0.0,0.012837224705172217,0.0,0.0,0.3856062735983121,0.5646660642520893,1.3660492098002355,0.5378190950732742,0.0,1.2057455409426623,1.5490032620257879,0.008600171761917567,1.5550944485783191,0.0,0.0,1.4369573306694496,0.0,0.0,0.0,0.3856062735983121,0.0,0.0,0.0,2.345530558034622,0.0,1.6701530451921802
