,AC004080.13,AC026992.1,AP000777.2,AC007319.1,DNAJC8P1,MIR1244_3,PGA4,SRP14,AC093575.1,ASCL3,RNU6_377P,MAGOH,RPL36AP26,RN7SL254P,CCDC33,AC012308.1,RPL36P19,AL121583.1,AL358394.2,AL627230.2,AC099788.1,AC006455.4,CCNB1,C6orf120,AC023245.1,FJX1,AC087289.3,HIST1H4B,RN7SL356P,RN7SL638P,TNFSF10,OR2C3,AC005921.1,ZNF718,IGKV2OR2_7D,CENPM,TSPY15P,RN7SL192P,RN7SL331P,ENO1_AS1,AC010468.1,ALG9,AC140076.1,WSCD1,RN7SKP211,GLYATL1P2,S1PR1,AP006248.2,ACSM5,AL445363.2
01H001,0.0,0.0,1.6257239095257559,0.0,0.3053513694466238,0.04532297878665747,0.0,0.012837224705172217,0.0,0.0,0.056904851336472634,0.0,0.0,0.0,0.0,0.02530586526477026,1.436480695009495,1.190611797813605,0.22788670461367355,0.0,0.0,0.08990511143939793,1.629307640073749,0.0,0.34830486304816066,1.5241363765925686,2.120606831056773,0.008600171761917567,0.0,0.0,0.004321373782642578,0.4623979978989561,0.36548798489089973,1.0038911662369105,2.684099961128538,0.0,0.5428254269591799,0.0,0.0,0.012837224705172217,0.8382192219076258,0.0,0.0,0.0,0.08278537031645007,1.902764143924086,0.0,0.0,0.0,0.0
01H002,0.0,0.0,1.4861469968065726,0.04532297878665747,0.17026171539495738,0.008600171761917567,0.0,0.0,0.0,0.0,0.01703333929878037,0.0,0.03742649794062367,0.0,0.0,0.11394335230683678,1.1568519010700111,0.5289167002776547,0.37474834601010387,0.0,0.0,0.08635983067474821,1.3279716236230106,0.05307844348341968,0.16731733474817606,1.7729814503449637,1.872272846224205,0.0,0.0,0.0,0.004321373782642578,0.24551266781414982,0.012837224705172217,0.8162412999917831,2.4155909430873077,0.012837224705172217,0.7015679850559274,0.008600171761917567,0.0,0.0,0.43136376415898736,0.0,0.0,0.0,0.01703333929878037,1.7420964023032444,0.0,0.0,0.0,0.0
02H003,0.0,0.0,1.52283531366053,0.01703333929878037,0.012837224705172217,0.03342375548694973,0.0,0.012837224705172217,0.0,0.0,0.01703333929878037,0.0,0.0,0.0,0.0,0.05307844348341968,1.3602146132953523,0.8142475957319202,0.7965743332104297,0.0,0.0,0.09342168516223506,1.8307169494368976,0.03742649794062367,0.146128035678238,1.963835030702148,1.9566965648946508,0.0,0.0,0.0,0.0,0.021189299069938092,0.0,0.8344207036815325,2.6377998291200475,0.0,1.0174507295105362,0.02530586526477026,0.0,0.004321373782642578,0.7664128471123994,0.0,0.0,0.0,0.03742649794062367,1.731346975545955,0.0,0.0,0.0,0.0
02H009,0.0,0.0,1.61066016308988,0.13987908640123647,0.07918124604762482,0.17609125905568124,0.0,0.01703333929878037,0.0,0.0,0.03742649794062367,0.0,0.004321373782642578,0.0,0.012837224705172217,0.07918124604762482,1.3888114134735237,0.6324572921847242,0.42813479402878873,0.0,0.0,0.1205739312058499,1.720820581770344,0.10037054511756291,0.10037054511756291,1.6582976503081899,1.912115729078854,0.0,0.0,0.0,0.008600171761917567,0.49692964807321494,0.0,0.9355072658247129,2.465055519951821,0.01703333929878037,0.6532125137753437,0.0,0.0,0.0,0.4871383754771864,0.0,0.0,0.08635983067474821,0.03342375548694973,1.7605732539443941,0.0,0.0,0.0,0.0
02H017,0.0,0.0,1.562768543016519,0.02530586526477026,0.04532297878665747,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,0.0,0.0,0.0,0.0,0.09342168516223506,1.4199557484897578,0.8014037100173551,0.33041377334919075,0.0,0.0,0.021189299069938092,1.7311050512159205,0.029383777685209667,0.18752072083646307,1.720572720364261,2.034347658446848,0.008600171761917567,0.0,0.0,0.008600171761917567,0.12385164096708583,0.0,0.787460474518415,3.194955349987336,0.0,0.45024910831936116,0.0,0.0,0.012837224705172217,0.711807229041191,0.0,0.0,0.0,0.02530586526477026,1.9910931080488874,0.0,0.0,0.0,0.0
02H025,0.0,0.0,1.4459154139511234,0.09691001300805642,0.19589965240923368,0.01703333929878037,0.0,0.0,0.0,0.0,0.01703333929878037,0.0,0.012837224705172217,0.0,0.0,0.09342168516223506,1.513617073787875,0.8825245379548805,0.436162647040756,0.0,0.0,0.09342168516223506,1.6970548922725743,0.03342375548694973,0.11394335230683678,2.028815169846887,1.8950355974523228,0.0,0.0,0.0,0.004321373782642578,0.43933269383026263,0.38381536598043126,0.931457870689005,2.7225352080244876,0.0,0.8350561017201162,0.0,0.0,0.004321373782642578,0.4487063199050799,0.0,0.0,0.0,0.01703333929878037,1.7523558041535008,0.0,0.0,0.0,0.0
02H026,0.0,0.0,1.6887756552728448,0.008600171761917567,0.12710479836480765,0.004321373782642578,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,0.03742649794062367,0.0,0.0,0.04139268515822507,1.1489109931093564,0.785329835010767,0.1931245983544616,0.0,0.0,0.06818586174616162,1.1792644643390253,0.03342375548694973,0.06818586174616162,1.6309361190641913,1.417803722639881,0.0,0.0,0.0,0.012837224705172217,0.3873898263387294,0.056904851336472634,0.8970770032094203,2.250566369040124,0.0,0.3729120029701066,0.0,0.0,0.008600171761917567,0.42975228000240795,0.0,0.004321373782642578,0.0,0.008600171761917567,1.7206553565517244,0.0,0.0,0.0,0.0
02H033,0.0,0.0,1.6842167951388805,0.029383777685209667,0.31386722036915343,0.05307844348341968,0.0,0.008600171761917567,0.0,0.0,0.01703333929878037,0.0,0.012837224705172217,0.0,0.0,0.06069784035361165,1.230704313612569,0.8948696567452525,0.2695129442179163,0.0,0.0,0.06069784035361165,1.3832766504076504,0.012837224705172217,0.056904851336472634,1.8178296997456056,1.624488362513449,0.0,0.0,0.0,0.012837224705172217,0.320146286111054,0.06818586174616162,0.8543060418010806,2.371030899466326,0.0,0.15228834438305647,0.0,0.0,0.0,0.45636603312904306,0.0,0.0,0.0,0.01703333929878037,1.7545776560447304,0.0,0.0,0.0,0.0
02H043,0.0,0.0,1.520352504083318,0.10720996964786837,0.029383777685209667,0.1931245983544616,0.0,0.03342375548694973,0.0,0.0,0.021189299069938092,0.0,0.0,0.0,0.0,0.06818586174616162,1.3544926005894364,0.7084209001347128,0.4014005407815441,0.0,0.0,0.08278537031645007,1.6535019469629328,0.0,0.1903316981702915,1.6265456590271294,2.03818286599066,0.0,0.0,0.0,0.008600171761917567,1.305566313515304,0.008600171761917567,0.8937617620579434,2.702439153314047,0.0,0.7185016888672743,0.0,0.0,0.0,0.45024910831936116,0.0,0.0,0.0,0.008600171761917567,1.7199938263676038,0.0,0.0,0.0,0.0
02H046,0.0,0.0,1.552789850192782,0.07918124604762482,0.320146286111054,0.004321373782642578,0.0,0.0,0.0,0.0,0.08990511143939793,0.0,0.0,0.012837224705172217,0.0,0.04139268515822507,1.502290527914773,0.850033257689769,0.6095944092252201,0.0,0.0,0.10380372095595687,1.8506462351830666,0.0,0.21218760440395779,1.8972421028053654,2.2432365379410766,0.0,0.0,0.0,0.012837224705172217,0.20411998265592482,0.44404479591807633,0.9982593384236987,2.4745804523423796,0.0,0.5865873046717549,0.0,0.0,0.01703333929878037,0.6693168805661122,0.0,0.021189299069938092,0.0,0.05307844348341968,2.0551106378541464,0.0,0.01703333929878037,0.0,0.0
