,DNMT3B,CPXM1,LAPTM4B,CDK6,DPYSL3,SOCS2,ARHGAP22,ZBTB46,EMP1,MMRN1,CD34,AKR1C3,NYNRIN,SMIM24,ADGRG1,Z99755.1
01H001,0.28103336724772754,0.437750562820388,0.20139712432045143,1.285107029566812,0.3222192947339193,1.8627275283179747,1.1007150865730817,0.10037054511756291,1.5939502952639875,1.506910725551518,0.741151598851785,0.5502283530550941,0.31806333496276157,0.21218760440395779,0.10380372095595687,0.0
01H002,0.5943925503754267,1.424718337331567,0.9982593384236987,1.438858659420562,0.06445798922691845,0.9652017010259121,0.5622928644564746,0.1553360374650618,1.3820170425748683,0.5211380837040362,1.0948203803547998,0.9552065375419417,0.42975228000240795,2.0119931146592567,1.1251558295805302,0.0
02H003,0.6785183790401139,2.0187004986662433,0.6117233080073418,1.3639878297484915,1.4991369945373827,1.2260841159758238,0.6201360549737576,0.7543483357110189,1.1405080430381795,1.080987046910887,2.1125714898649792,1.4192947217534606,0.41830129131974547,2.0998187096152305,0.3856062735983121,0.0
02H009,1.084576277934331,2.0282051199054427,2.0506890277588807,1.4514794051248618,0.36921585741014284,1.5987905067631152,1.394801777162711,0.48572142648158,0.8407332346118067,1.171726453653231,0.829303772831025,1.3508292735829677,0.7283537820212285,1.951774508081725,1.6774244377012475,0.0
02H017,0.8904210188009143,2.368156670034973,1.5086643630529428,1.5945030438200891,0.8609366207000937,2.0498380006225836,1.118595365223762,0.47856649559384334,0.5037906830571811,0.15836249209524964,0.4345689040341987,0.39093510710337914,0.9036325160842377,2.018284308426531,0.4653828514484183,0.0
02H025,1.2579184503140584,1.978864984347657,1.8143807944699382,1.0906107078284066,0.7596678446896306,2.100129203359808,1.095169351431755,0.7909884750888159,1.637189422148762,1.5323721335678775,2.3661052924228607,2.051885378889872,0.9375178920173467,1.6973165417323834,1.5538830266438743,0.0
02H026,0.403120521175818,0.6324572921847242,0.9523080096621253,0.8155777483242672,0.03342375548694973,0.670245853074124,0.2787536009528289,0.07188200730612536,0.7902851640332417,0.05307844348341968,0.10037054511756291,0.5717088318086876,0.18184358794477254,0.9754318085092629,0.23299611039215382,0.0
02H033,0.3979400086720376,1.4224256763712047,0.8561244442423004,0.948412965778601,0.4099331233312946,0.5352941200427705,0.5185139398778874,0.04532297878665747,1.2743887955503788,0.15836249209524964,0.22530928172586287,0.8048206787211624,0.48000694295715063,0.9360107957152095,0.3979400086720376,0.0
02H043,1.0499928569201427,2.081491328525699,2.2944441801968734,1.371806458507416,0.3443922736851107,2.2059347936846816,1.497758718287268,0.667452952889954,1.2773799746672547,1.582290682718994,0.8102325179950841,2.0486748149922294,0.6748611407378116,2.0418267626375437,1.8100980406811429,0.02530586526477026
02H046,1.3220124385824004,1.9317120670567556,1.0025979807199086,1.727459920857909,0.24551266781414982,1.6271609523747759,0.5065050324048721,0.45024910831936116,1.6931991451537172,0.5854607295085006,1.4122925093230465,1.660201201380682,0.9175055095525466,2.0857185951654023,1.6306312440205,0.0
02H053,0.8267225201689921,1.876621916034273,0.7693773260761385,1.3918169236132487,0.9425041061680807,1.1838390370564211,1.165541076722373,0.4712917110589386,1.184975190698261,0.01703333929878037,0.021189299069938092,1.3027637084729817,0.19589965240923368,2.1305267453841634,0.36172783601759284,0.0
02H066,1.25478968739721,1.9486085498764363,2.0317719075140017,1.4070508148042504,0.15836249209524964,1.6663307443019686,1.5050142400841071,0.8082109729242221,0.367355921026019,0.5943925503754267,0.6138418218760692,1.942652811693212,0.5998830720736879,2.3921163338160096,1.2221960463017199,0.0
03H016,0.5740312677277188,1.3991543339582164,0.7355988996981799,1.0398105541483504,0.5171958979499743,0.9809119377768436,0.8813846567705729,0.2764618041732442,1.497758718287268,0.2671717284030138,0.26007138798507473,0.6138418218760692,0.34044411484011833,1.0362295440862945,0.8721562727482928,0.0
