,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
01H001,-0.2787013515745551,27.013981190743046,-9.768574595868369,11.745152383514633,-9.789030392550991,-5.557060558896225,3.5198471616367732,-5.641060210070279,-5.9899114038588035,8.76730735707488,3.3935066452297353,1.0580826991427443,0.4115494586373212,0.5920968120277366,0.35262975141874436,-5.160623939360626,3.6728940702584136
01H002,27.465502612769722,1.582465975071843,-6.704833207219027,-25.294675803446516,-0.7966684652514707,2.1074176325273593,6.233933160038507,-4.405607308602757,6.772980827742729,1.355962169424866,7.503748732530655,-0.47034506470503396,3.619898002251822,-5.702674586985262,0.6991715448922851,0.5643493886678699,1.1802015954667056
02H003,13.003184929361943,-7.334007592203146,2.3636497980082547,-6.347034462628047,-7.629938956120343,-6.192885067749279,1.579034292643112,2.1201761176793736,-0.6136362626850989,-1.5764739571206816,9.927063023996533,-2.16815326524803,10.42607090814671,-6.822676547727682,6.511776392926754,-3.8751591949951605,-7.478286833970424
02H009,9.70147622390804,-6.064387991872181,-14.95353443461082,-7.615435375898557,-7.392484249176322,-1.7749679311301232,-3.7306707075367984,-2.6914369283199426,14.217793682729269,0.5075225313229745,-0.45905079001564475,3.290906774418437,-0.8840781243620038,-1.0752634913490893,-0.5319776661479172,-1.1052179540269162,-2.1162523983859396
02H017,10.046024797678749,5.493694875018067,-16.047680044045585,-15.090026679484284,-11.075448089167919,-0.744682638202433,3.6432061304718033,8.437301648045919,4.313115045837679,6.597143846525615,-0.2591187896459848,-4.0523849294347976,7.7433874241090095,-5.304448983764278,6.429530867715675,2.8726244193439427,-0.8262611768887262
02H025,12.952274162324054,-6.392861283346437,-7.962697208643503,-3.8497865880650273,-7.714243229923854,-11.550300270018033,-6.281351980772171,-3.565343132386958,10.3211016176082,5.397227160338625,12.696782214157881,-0.9716666307844019,1.2538101565304545,-6.411171845919127,0.4322638701016849,1.887806581361259,-2.9109088248229007
02H026,26.50132527348902,14.513266997952671,-15.99109746569593,-15.12480105748668,-5.8540918892483464,4.800239836564718,-3.3755737794753706,5.266217799162685,4.937241618582176,2.6702041349071193,6.051298786064985,5.787724785022323,2.6915205480064675,-0.4880943507793302,-1.7424794235472363,-7.755978618179633,-4.50504251843033
02H033,13.990334420629443,17.790178518175562,-18.296075690509277,-9.637131902505613,-2.029772306166615,2.592742150912519,-2.1673947131552196,0.8801899342098053,2.479952419616459,3.9815190164921757,3.717309875962947,2.52689575770189,2.242868330665974,-0.790651662530309,1.5234404129403087,-5.217168760792843,-2.9699092647597873
02H043,16.902080891397507,-10.037023362170888,-12.701805334030766,-6.515209397604531,-11.308325843407744,-8.828136904709222,-4.723174203570932,-5.127163512909885,14.24416127448243,8.235477500056735,8.465871436590762,1.4623464137032478,-1.6765164514297641,-2.1459420959834503,-0.4507256727470777,-2.0436413955416293,-3.327252295927876
02H046,-0.41305634581936645,-4.365868821444424,-13.907291062986365,-14.451976610061926,-1.7876019806306132,0.15730768078880153,14.475892637693299,-5.628731783873827,3.4465038741544625,2.9878097559023384,12.688766700664297,-7.672052273992635,-0.0022035789090588467,-0.36310101246376647,2.3443034568820518,-0.9595235336129951,-2.218131388361292
02H053,21.417838556708737,-6.866499699799805,-9.509187685776869,-16.037619962748025,-13.93597293326323,2.2573442060066435,4.709160240016009,2.4888401046266697,6.8599861604621175,0.5065764848487452,0.09666410748850601,0.03714393265767471,13.943434696906838,1.3226841129679139,2.6752442782999393,-7.008375984972234,-2.8727260347348222
02H066,9.787035184608118,-12.201315813210266,-12.260834302329796,-10.847848158504199,-9.561039116054033,-3.4697026132336077,0.7539458178267517,0.46175565097884097,4.826875938231417,4.3400010634282715,-0.00407310225967672,-1.4073457734116355,11.36041482249728,-2.8375672748633827,0.6425923193537487,-0.5123340437678843,0.3715067588523741
