,MYOM3,INPP1,CLDN22,AC027682.2,AC084880.2,RNA5S8,SPSB1,SLC37A3,AC090061.1,NKX2_2,AC239804.1,ZNF503_AS1,Z95152.1,PLEKHO2,NTAN1P3,C7orf69,MIR409,CCDC22,LINC00911,MIR551B,AC124798.2,RNU6_590P,AL450468.2,CEACAMP2,LIPC_AS1,AC009094.1,AF001548.1,AC055854.1,AC107980.1,CDYLP1,GOLGA2P7,ISCU,STX12,RN7SL219P,AC009097.1,AC087672.2,AL512506.3,IDH3G,AP003108.5,AC127496.5,U3,MIR5703,RNF169,MIR26A2,TTTY3B,SLC35A2,AC159540.2,NR2C1,OR7A1P,Y_RNA,FABP7,RPL12P11,AADACL4,MESP1,AC006452.1,RN7SL719P,AC026950.2,UBIAD1,BX005132.1,AL512603.1,LINC02340,FCGBP,AL356317.2,MIR6838,BTF3P14,MAPKAPK5_AS1,OTUD4P1,RNASEH2B_AS1,LPCAT2,KLHL2,KCNB1,AC018450.2,KYAT1,RN7SL836P,SPDL1,AL133243.2,AC011498.3,AFAP1,RNU2_41P,AC022400.1,AC008741.1,KRTAP13_4,BPY2C,OSBPL9,IGLVV_66,AC132825.3,SPATA31A7,AC018709.1,RNU6_1184P,AC109638.1,LINC02174,AC007283.1,AC105133.1,SALRNA2,AL512625.1,HTRA1,AC244093.2,MORF4L1P6,DNAJC19P4,IGHVIII_67_4,PGAM1P13,CHRDL1,GLIPR1,RNU6_1223P,VSX1,RN7SL741P,ATAD3C,AC107398.2,AC023824.5,MIR5196,Y_RNA,SNORA60,SNORD116_9,AC098826.3,MTND3P23,KREMEN1,SMAD4,COX17P1,AC007686.1,LINC02209,AC008739.5,AC010631.1,ARHGAP23,FP700111.1,Y_RNA,NBEAP1,AL139098.1,INO80B_WBP1,AC016773.1,LINC00336,AC027345.1,TMEM271,AC022022.1,UBL5,RN7SKP166,AC124854.1,PLA2R1,AC107083.1,OR11K1P,MTSS1,AC008494.1,IL21,AC006001.3,RNU6_762P,UBE2Q2P12,AC016705.3,OR13D2P,UBAP2,ATP2C1,ME2P1,RNU6_1026P,AC018690.1,RPL36P19,INS_IGF2,GLYCTK,SMAD7,AL353688.1,CT45A10,AL157359.2,SNORD114_24,CCDC154,AC087379.2,AL359551.1,AP000880.1,RAPH1,FABP6,OR7A15P,SPATA17_AS1,AC069294.1,AC006277.1,AC089984.2,BSNDP3,AL356134.1,RNU6_789P,AC002378.1,PTN,AC131571.1,AC104462.1,FABP5,AL049745.1,KRTAP4_11,SPCS2P1,H1FX,CDPF1,AL603764.1,HPR,CAND2,RNA5SP95,PLA2G2E,AL049873.1,AC008134.1,ABHD17C,AL122008.4,AC097500.1,AC087591.1,AC245452.1,AP002991.1,NCR3LG1,RNU6_273P,PRR14L
01H001,1.5576274884268266,1.330210784571528,0.0,0.0,0.0,1.9400680137393524,0.0,0.11058971029924897,0.02530586526477026,0.11727129565576427,0.07188200730612536,0.3424226808222063,0.07918124604762482,0.6946051989335688,0.03742649794062367,0.0,0.414973347970818,2.2860071220794747,0.06069784035361165,0.0,0.0,0.6522463410033232,0.24303804868629442,0.0,0.2304489213782739,0.0,0.5751878449276611,0.0,0.01703333929878037,0.20682587603184968,0.03342375548694973,0.03742649794062367,0.0,0.008600171761917567,0.0,0.10720996964786837,0.15836249209524964,0.8182258936139555,0.0,0.0,0.0,0.08990511143939793,0.0,0.0,0.0,0.0,0.4742162640762552,0.04139268515822507,0.0,0.0,0.0,0.0,0.0,0.36172783601759284,0.0,0.0,2.017992737766433,2.3365397807535397,0.0,0.008600171761917567,0.06818586174616162,0.0,1.680879174426811,0.04139268515822507,0.008600171761917567,0.03342375548694973,1.7733475419808231,0.021189299069938092,0.0,0.25527250510330607,0.01703333929878037,0.0,0.0,0.04532297878665747,0.0,0.0,0.0,0.0,0.0,0.2576785748691845,0.01703333929878037,0.0,1.6901074394563307,0.0,0.0,1.8327643049405316,0.9153998352122699,0.0,0.004321373782642578,0.0,0.05307844348341968,0.0,0.03742649794062367,1.6932871570056556,0.0,0.0,0.0,1.0711452904510828,0.0,0.0,0.0,1.6186755388851397,0.0,0.0,0.0,0.0,0.0,0.07918124604762482,0.07918124604762482,1.252853030979893,0.0,0.0,0.0,0.3159703454569178,0.0,0.0,0.0,0.02530586526477026,0.0,1.0236639181977936,0.5024271199844327,0.0,0.0,1.015778756389041,1.1556396337597763,2.2140752085028086,0.0,0.0,1.588943642740015,0.0,0.0,0.8088858673598122,0.37106786227173627,0.03742649794062367,0.0,0.23804610312879543,0.4099331233312946,0.07188200730612536,1.6540802353065707,0.004321373782642578,0.021189299069938092,0.07554696139253074,0.0,0.9242792860618817,1.0240749873074262,0.0,0.0,0.47275644931721233,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.0,0.08635983067474821,0.02530586526477026,1.2842050677017942,0.0,0.0,0.3891660843645325,0.0,0.03742649794062367,0.505149978319906,0.0,0.0,0.08635983067474821,0.004321373782642578,0.0,0.0,0.0,0.15836249209524964,0.012837224705172217,0.0,0.320146286111054,0.6946051989335688,0.0,0.3729120029701066,0.0,0.25527250510330607,0.9196010237841109,0.8095597146352678,0.004321373782642578,0.0,1.1277525158329733,0.004321373782642578,0.0,0.19865708695442263,0.7024305364455253,0.21748394421390624,0.0,0.2695129442179163,3.0288883182874335,0.47712125471966244,0.0,0.04921802267018165,0.0,0.0,1.6254153521544081
01H002,1.209783014848515,1.0090257420869102,0.0,0.0,0.0,1.368472838440362,0.0,0.06069784035361165,0.008600171761917567,0.07918124604762482,0.10037054511756291,0.1367205671564068,0.03742649794062367,0.24797326636180664,0.029383777685209667,0.0,0.10037054511756291,2.2130925512524837,2.5361921678126427,0.5428254269591799,0.0,0.9708116108725178,0.0,0.0,0.10380372095595687,0.0,0.46089784275654777,0.0,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.0,0.2576785748691845,0.06818586174616162,0.320146286111054,0.0,0.0,0.0,0.012837224705172217,0.004321373782642578,0.0,0.0,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.0,0.32428245529769273,0.0,0.0,1.7301360039966778,1.9788193867328423,0.0,0.0,0.004321373782642578,0.0,1.4342494523964755,0.0,0.0,0.008600171761917567,1.7296506683359203,0.0,0.0,0.04532297878665747,0.0,0.0,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.05307844348341968,0.0,0.0,1.0561422620590524,0.0,0.0,1.4528593357958524,0.7419390777291989,0.0,0.04532297878665747,0.0,0.012837224705172217,0.0,0.07554696139253074,1.5954962218255742,0.0,0.0,0.0,0.8715729355458788,0.0,0.0,0.0,1.7410727723733215,0.0,0.0,0.0,0.0,0.004321373782642578,0.0,0.008600171761917567,0.6803355134145632,0.0,0.0,0.0,0.271841606536499,0.0,0.0,0.0,0.012837224705172217,0.0,1.1476763242410988,0.17609125905568124,0.0,0.0,0.6493348587121419,0.8893017025063104,1.5683190850951116,0.0,0.0,1.493876110852823,0.0,0.0,0.6776069527204931,0.28103336724772754,0.004321373782642578,0.0,0.0,0.31806333496276157,0.07554696139253074,0.17026171539495738,0.0,0.0,0.06818586174616162,0.0,0.8260748027008264,0.9380190974762103,0.0,0.0,0.2148438480476979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,0.568201724066995,0.0,0.0,1.1115985248803941,0.0,0.0,0.03742649794062367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.23552844690754893,0.0,0.012837224705172217,0.37474834601010387,0.0,0.056904851336472634,0.0,0.0,0.6655809910179531,0.7604224834232121,0.0,0.0,0.6618126855372612,0.0,0.0,0.012837224705172217,0.25527250510330607,0.39093510710337914,0.0,0.01703333929878037,3.2563472593676415,0.06445798922691845,0.0,0.03342375548694973,0.0,0.0,1.3490831687795903
02H003,1.319522449065454,1.251638220448212,0.0,0.0,0.0,1.5833121519830777,0.0,0.04921802267018165,0.021189299069938092,0.08635983067474821,0.24054924828259971,0.69810054562339,0.12385164096708583,0.37839790094813763,0.10720996964786837,0.0,0.23552844690754893,2.407373906311004,1.2148438480476977,0.01703333929878037,0.0,0.8674674878590515,0.0,0.0,0.21218760440395779,0.0,0.45636603312904306,0.0,0.0,0.04921802267018165,0.0,0.01703333929878037,0.0,0.0,0.0,0.17897694729316943,0.24303804868629442,0.45024910831936116,0.0,0.0,0.0,0.029383777685209667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32428245529769273,0.0,0.0,1.8483123036272844,1.873843533223436,0.0,0.0,0.01703333929878037,0.0,1.588159616383092,0.14921911265537988,0.004321373782642578,0.0,1.5073160400764136,0.0,0.0,0.04921802267018165,0.0,0.0,0.008600171761917567,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.08278537031645007,0.04921802267018165,0.0,1.17435059747938,0.0,0.0,1.82529626443096,0.7824726241662862,0.0,0.10037054511756291,0.0,0.029383777685209667,0.0,0.03742649794062367,1.353916230920363,0.0,0.0,0.0,0.8234742291703011,0.0,0.04532297878665747,0.0,1.9095025414054154,0.0,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,0.9304395947667001,0.0,0.0,0.0,0.11727129565576427,0.0,0.0,0.0,0.008600171761917567,0.0,0.9777236052888477,0.35602585719312274,0.0,0.0,0.7551122663950712,1.0729847446279304,1.6173149332982937,0.0,0.0,1.307496037913213,0.0,0.0,0.5888317255942073,0.41995574848975786,0.021189299069938092,0.0,0.056904851336472634,0.4927603890268375,0.11394335230683678,0.004321373782642578,0.0,0.0,0.07188200730612536,0.0,0.8518696007297664,1.0310042813635367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546542663478131,0.0,0.0,0.8102325179950841,0.0,0.0,0.029383777685209667,0.07188200730612536,0.0,0.03342375548694973,0.0,0.0,0.0,0.0,0.39619934709573634,0.04139268515822507,0.0,0.06818586174616162,0.7505083948513462,0.0,0.11727129565576427,0.0,0.0,0.7678976160180907,0.6232492903979004,0.0,0.0,0.7737864449811935,0.0,0.0,0.01703333929878037,1.0449315461491602,0.15228834438305647,0.0,0.11394335230683678,3.336093330987865,0.2764618041732442,0.0,0.029383777685209667,0.004321373782642578,0.0,1.7577754910119257
02H009,1.5011962420270888,1.180125875164054,0.0,0.004321373782642578,0.0,1.8205954965444902,0.0,0.07188200730612536,0.012837224705172217,0.11058971029924897,0.24054924828259971,0.22788670461367355,0.09342168516223506,0.6190933306267428,0.0,0.0,0.35793484700045386,2.5476147374524074,1.9667047766578745,0.06818586174616162,0.0,0.8337843746564789,0.0,0.0,0.04139268515822507,0.0,0.6683859166900001,0.0,0.0,0.03742649794062367,0.0,0.0,0.0,0.0,0.0,0.07918124604762482,0.1430148002540951,0.44560420327359757,0.0,0.0,0.0,0.04532297878665747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5010592622177514,0.0,0.0,1.988960070390338,1.805636766305935,0.0,0.01703333929878037,0.012837224705172217,0.0,1.4104397862103466,0.021189299069938092,0.0,0.004321373782642578,1.6623800200162475,0.03342375548694973,0.0,0.10380372095595687,0.0,0.0,0.0,0.04532297878665747,0.0,0.0,0.0,0.0,0.0,0.056904851336472634,0.0,0.0,1.4282968139828796,0.0,0.0,1.4437322414015967,1.0170333392987803,0.0,0.01703333929878037,0.0,0.03342375548694973,0.0,0.10380372095595687,1.5843312243675307,0.012837224705172217,0.0,0.0,1.2005769267548483,0.0,0.0,0.0,1.8262692193937262,0.004321373782642578,0.0,0.0,0.0,0.004321373782642578,0.0,0.0,0.8567288903828826,0.0,0.0,0.0,0.15228834438305647,0.0,0.0,0.0,0.012837224705172217,0.0,1.3848907965305541,0.19589965240923368,0.0,0.0,1.0884904701823963,1.1306553490220306,1.7023443583557687,0.0,0.0,1.6035773681514667,0.0,0.0,0.8048206787211624,0.5728716022004803,0.0,0.0,0.08990511143939793,0.515873843711679,0.06445798922691845,0.1553360374650618,0.0,0.0,0.01703333929878037,0.0,0.359835482339888,1.1522883443830565,0.0,0.0,0.4623979978989561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.8234742291703011,0.0,0.0,0.9206450014067876,0.0,0.01703333929878037,0.01703333929878037,0.0,0.0,0.0,0.0,0.07188200730612536,0.0,0.0,0.03742649794062367,0.06445798922691845,0.0,0.08635983067474821,0.6618126855372612,0.0,0.18752072083646307,0.0,0.0,1.0064660422492318,0.8808135922807914,0.0,0.0,0.9459607035775686,0.0,0.0,0.07554696139253074,0.5728716022004803,0.4471580313422192,0.0,0.08635983067474821,3.340987139083148,0.6117233080073418,0.0,0.04139268515822507,0.012837224705172217,0.0,1.5089335260500327
02H017,1.6716355966021297,1.121559844187501,0.0,0.0,0.0,1.6223176608338443,0.0,0.04139268515822507,0.008600171761917567,0.13987908640123647,0.2304489213782739,0.1931245983544616,0.029383777685209667,0.8286598965353198,0.0,0.0,0.1903316981702915,2.3711233005819494,1.3951515915045425,0.029383777685209667,0.0,0.4345689040341987,0.0,0.0,0.08635983067474821,0.0,0.6812412373755872,0.0,0.0,0.04139268515822507,0.0,0.012837224705172217,0.0,0.029383777685209667,0.0,0.10380372095595687,0.056904851336472634,0.36361197989214433,0.0,0.0,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.4899584794248346,0.0,0.0,0.0,0.0,0.0,0.0,0.5587085705331657,0.0,0.0,1.9586116577648793,1.8974621380130632,0.0,0.012837224705172217,0.021189299069938092,0.0,1.5092025223311027,0.04532297878665747,0.008600171761917567,0.008600171761917567,1.6716355966021297,0.04139268515822507,0.0,0.17609125905568124,0.0,0.0,0.04921802267018165,0.029383777685209667,0.0,0.0,0.0,0.0,0.0,0.04921802267018165,0.0,0.0,1.4119562379304016,0.0,0.0,1.510142699402573,0.9063350418050906,0.0,0.03742649794062367,0.0,0.008600171761917567,0.0,0.07554696139253074,1.3330440298234874,0.0,0.0,0.0,0.9180303367848802,0.0,0.0,0.0,2.1214285183679626,0.0,0.0,0.0,0.0,0.021189299069938092,0.021189299069938092,0.029383777685209667,0.787460474518415,0.0,0.0,0.0,0.04532297878665747,0.0,0.0,0.0,0.0,0.0,1.2734642726213463,0.20951501454263097,0.0,0.0,0.8796692056320535,1.0145205387579237,1.7471009313649861,0.0,0.0,1.524655712357777,0.0,0.0,0.651278013998144,0.5440680443502757,0.03742649794062367,0.0,0.0,0.47275644931721233,0.03742649794062367,0.3053513694466238,0.0,0.008600171761917567,0.0,0.0,0.6009728956867483,0.8512583487190752,0.0,0.0,0.4548448600085102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04921802267018165,0.6637009253896481,0.0,0.0,1.1212314551496214,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.0,0.0,0.0,0.0,0.13353890837021748,0.029383777685209667,0.0,0.07554696139253074,0.4487063199050799,0.0,0.2528530309798932,0.0,0.0,0.8488047010518037,0.9754318085092629,0.0,0.0,0.7867514221455612,0.0,0.0,0.13987908640123647,0.8142475957319202,0.24303804868629442,0.0,0.0,3.246382851995364,0.7143297597452329,0.0,0.04921802267018165,0.0,0.0,1.4978967429132202
02H025,1.4219328132785085,1.1784013415337553,0.0,0.0,0.0,1.7708520116421442,0.0,0.08278537031645007,0.012837224705172217,0.08990511143939793,0.03342375548694973,0.15228834438305647,0.07918124604762482,0.23299611039215382,0.03342375548694973,0.0,0.2787536009528289,2.523095838252568,2.003029470553618,0.02530586526477026,0.0,0.75815462196739,0.0,0.0,0.056904851336472634,0.0,0.5440680443502757,0.0,0.01703333929878037,0.02530586526477026,0.0,0.0,0.0,0.0,0.0,0.06818586174616162,0.02530586526477026,0.4065401804339551,0.0,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.01703333929878037,0.0,0.012837224705172217,0.0,0.0,0.0,0.012837224705172217,0.2695129442179163,0.0,0.0,1.8468935433166251,2.5021948878982374,0.0,0.09691001300805642,0.004321373782642578,0.0,1.57541879121436,0.0,0.004321373782642578,0.004321373782642578,1.650598898172657,0.0,0.0,0.04532297878665747,0.0,0.0,0.021189299069938092,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.03342375548694973,0.04532297878665747,0.0,1.0346284566253203,0.0,0.0,1.8606972740520389,0.7024305364455253,0.0,0.029383777685209667,0.0,0.03742649794062367,0.0,0.03342375548694973,1.6909930320998694,0.0,0.0,0.0,0.8954225460394079,0.0,0.0,0.0,1.865814380167968,0.0,0.0,0.0,0.012837224705172217,0.01703333929878037,0.0,0.08278537031645007,0.8280150642239769,0.0,0.0,0.0,0.5301996982030822,0.17897694729316943,0.0,0.02530586526477026,0.004321373782642578,0.0,1.2709116394104811,0.09691001300805642,0.0,0.0,0.8639173769578605,0.8680563618230416,1.823800153749878,0.0,0.0,1.5596672783880576,0.0,0.0,0.5888317255942073,0.4927603890268375,0.01703333929878037,0.0,0.0,0.4638929889859073,0.04921802267018165,0.2671717284030138,0.0,0.021189299069938092,0.0,0.0,0.44560420327359757,0.8597385661971468,0.0,0.0,0.12385164096708583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,0.5987905067631151,0.0,0.0,0.7671558660821804,0.0,0.0,0.03742649794062367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,0.2741578492636798,0.0,0.04921802267018165,0.6232492903979004,0.0,0.06818586174616162,0.0,0.0,0.7930916001765802,0.7930916001765802,0.0,0.0,1.0,0.0,0.0,0.0,0.40483371661993806,0.24797326636180664,0.0,0.056904851336472634,3.2727788563457194,0.6866362692622934,0.0,0.004321373782642578,0.0,0.03742649794062367,1.8291750739170876
02H026,1.3296012483565187,0.9444826721501687,0.0,0.0,0.0,1.4488608456074408,0.0,0.04921802267018165,0.012837224705172217,0.07554696139253074,0.2944662261615929,0.08635983067474821,0.008600171761917567,0.359835482339888,0.0,0.0,0.16731733474817606,2.3873186246856637,0.4712917110589386,0.04139268515822507,0.0,0.29885307640970665,0.0,0.0,0.1205739312058499,0.0,0.5763413502057928,0.0,0.0,0.13033376849500614,0.0,0.0,0.0,0.07554696139253074,0.0,0.04532297878665747,0.0,0.46834733041215726,0.0,0.0,0.0,0.04921802267018165,0.008600171761917567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9628426812012424,0.0,0.0,1.9912260756924949,2.1492191126553797,0.0,0.0,0.01703333929878037,0.0,1.4702634469650784,0.0,0.0,0.012837224705172217,1.7379079233746386,0.07554696139253074,0.0,0.029383777685209667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2591158441850663,0.0,0.0,1.0047511555910011,0.9273703630390235,0.0,0.0,0.0,0.008600171761917567,0.0,0.03342375548694973,1.6303261548039467,0.0,0.0,0.0,1.1838390370564211,0.0,0.0,0.0,1.6574383227029625,0.0,0.0,0.0,0.0,0.004321373782642578,0.03342375548694973,0.02530586526477026,0.7315887651867387,0.0,0.008600171761917567,0.0,0.35793484700045386,0.0,0.0,0.0,0.004321373782642578,0.0,0.8987251815894934,0.22271647114758328,0.0,0.0,0.8000293592441343,0.8305886686851442,1.6726519228400025,0.0,0.0,1.326540668516562,0.0,0.0,0.7701152947871016,0.2966651902615311,0.03342375548694973,0.0,0.056904851336472634,0.20411998265592482,0.0,0.17318626841227402,0.0,0.0,0.01703333929878037,0.0,1.0166155475571774,1.0913151596972228,0.0,0.0,0.06818586174616162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,0.6434526764861874,0.0,0.0,1.2467447097238413,0.0,0.0,0.01703333929878037,0.0,0.0,0.012837224705172217,0.0,0.01703333929878037,0.0,0.0,0.10037054511756291,0.0,0.0,0.008600171761917567,0.20139712432045143,0.0,0.07188200730612536,0.0,0.0,0.7723217067229198,0.9916690073799486,0.0,0.0,0.6020599913279624,0.0,0.0,0.05307844348341968,0.20139712432045143,0.42488163663106704,0.008600171761917567,0.0,3.268156576740394,0.3856062735983121,0.0,0.01703333929878037,0.0,0.0,1.301897717195208
02H033,1.5116160205691378,1.3012470886362115,0.0,0.0,0.0,1.7904259173911106,0.0,0.10720996964786837,0.012837224705172217,0.07554696139253074,0.34830486304816066,0.05307844348341968,0.01703333929878037,0.20682587603184968,0.0,0.0,0.5611013836490559,2.163370120225884,0.6627578316815741,0.03342375548694973,0.0,0.515873843711679,0.0,0.0,0.07554696139253074,0.0,0.6211762817750351,0.0,0.004321373782642578,0.021189299069938092,0.02530586526477026,0.008600171761917567,0.0,0.008600171761917567,0.0,0.07188200730612536,0.04921802267018165,0.6618126855372612,0.0,0.0,0.0,0.09691001300805642,0.0,0.0,0.0,0.0,0.03342375548694973,0.021189299069938092,0.0,0.0,0.0,0.0,0.0,1.1643528557844371,0.0,0.0,2.0116972881141426,2.584715585805137,0.0,0.0,0.012837224705172217,0.0,1.8245163280072092,0.03742649794062367,0.0,0.004321373782642578,1.6937269489236468,0.0,0.0,0.20139712432045143,0.0,0.0,0.029383777685209667,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.04139268515822507,0.0,0.0,1.2736955879300922,0.0,0.0,1.4772659954248526,0.9513375187959178,0.0,0.10380372095595687,0.0,0.02530586526477026,0.0,0.09691001300805642,1.5871494982543437,0.0,0.0,0.0,1.19506899646859,0.0,0.0,0.0,1.7233735670189845,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.004321373782642578,0.8325089127062363,0.0,0.008600171761917567,0.0,0.19589965240923368,0.0,0.0,0.0,0.01703333929878037,0.0,1.0269416279590293,0.2966651902615311,0.0,0.0,1.0145205387579237,0.8904210188009143,1.9383195433421556,0.0,0.0,1.2909245593827543,0.0,0.0,0.8450980400142568,0.4638929889859073,0.04921802267018165,0.0,0.0,0.287801729930226,0.03342375548694973,0.5538830266438743,0.0,0.004321373782642578,0.0,0.0,1.3251049829714074,1.1222158782728267,0.0,0.0,0.541579243946581,0.0,0.004321373782642578,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.04532297878665747,0.03342375548694973,0.9242792860618817,0.0,0.0,0.850033257689769,0.0,0.01703333929878037,0.004321373782642578,0.0,0.0,0.004321373782642578,0.0,0.03342375548694973,0.0,0.0,0.12710479836480765,0.012837224705172217,0.0,0.10720996964786837,0.48000694295715063,0.0,0.09342168516223506,0.0,0.34635297445063856,0.7355988996981799,0.9063350418050906,0.0,0.0,1.0740846890282438,0.0,0.0,0.07554696139253074,0.7160033436347992,0.4487063199050799,0.0,0.06818586174616162,3.182083526497329,0.7185016888672743,0.0,0.01703333929878037,0.0,0.0,1.4851533499036522
02H043,1.4192947217534606,1.2442771208018428,0.0,0.0,0.0,1.7145812088395311,0.0,0.08635983067474821,0.0,0.13353890837021748,0.07188200730612536,0.19865708695442263,0.01703333929878037,0.5440680443502757,0.0,0.0,0.25527250510330607,2.7754356757519867,1.7744439689249651,0.05307844348341968,0.0,0.69284691927723,0.0,0.0,0.04139268515822507,0.0,0.5670263661590604,0.0,0.004321373782642578,0.008600171761917567,0.004321373782642578,0.0,0.0,0.0,0.0,0.1430148002540951,0.06069784035361165,0.30319605742048883,0.0,0.0,0.0,0.04921802267018165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,0.42975228000240795,0.0,0.0,1.8286598965353198,2.1263911916166145,0.0,0.10720996964786837,0.012837224705172217,0.0,1.4114513421379375,0.04139268515822507,0.0,0.01703333929878037,1.6051972673883779,0.01703333929878037,0.0,0.04139268515822507,0.0,0.0,0.012837224705172217,0.008600171761917567,0.0,0.0,0.0,0.0,0.0,0.06818586174616162,0.0,0.0,1.095169351431755,0.0,0.0,1.5532760461370994,0.8055008581584001,0.0,0.021189299069938092,0.0,0.07188200730612536,0.0,0.10037054511756291,1.6402826296966808,0.0,0.0,0.0,1.0711452904510828,0.0,0.0,0.0,1.828079590556746,0.0,0.0,0.0,0.02530586526477026,0.03342375548694973,0.0,0.0,0.7937903846908186,0.0,0.0,0.0,0.14921911265537988,0.0,0.0,0.03742649794062367,0.008600171761917567,0.0,1.3368598209168092,0.056904851336472634,0.0,0.0,1.003029470553618,0.9903388547876014,1.6137361412618714,0.0,0.0,1.5829719291048059,0.0,0.0,0.6637009253896481,0.4742162640762552,0.0,0.0,0.0,0.4424797690644485,0.0,0.07188200730612536,0.0,0.0,0.01703333929878037,0.0,0.19589965240923368,0.8813846567705729,0.0,0.0,0.28103336724772754,0.0,0.01703333929878037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,0.5728716022004803,0.0,0.0,0.8915374576725645,0.0,0.05307844348341968,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,0.08990511143939793,0.0,0.07918124604762482,0.5477747053878226,0.0,0.021189299069938092,0.0,0.0,0.9329808219231982,0.8155777483242672,0.0,0.0,0.7723217067229198,0.0,0.0,0.03742649794062367,0.4548448600085102,0.32428245529769273,0.0,0.07188200730612536,3.3535450283477273,0.8034571156484139,0.0,0.01703333929878037,0.0,0.0,1.6194064108867774
02H046,1.5471591213274176,1.2801228963023075,0.0,0.0,0.0,1.6264430253312947,0.0,0.1205739312058499,0.012837224705172217,0.17318626841227402,0.2741578492636798,0.35602585719312274,0.1846914308175988,0.49554433754644844,0.04532297878665747,0.0,0.30319605742048883,2.5410172928456567,3.0521358093017765,0.3944516808262163,0.0,0.850033257689769,0.0,0.0,0.1205739312058499,0.0,0.5888317255942073,0.0,0.004321373782642578,0.1367205671564068,0.0,0.0,0.0,0.0,0.0,0.18184358794477254,0.012837224705172217,0.5921767573958667,0.0,0.0,0.0,0.021189299069938092,0.004321373782642578,0.0,0.0,0.0,0.3222192947339193,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.42813479402878873,0.0,0.0,1.8138477542288542,2.1308481831028585,0.0,0.0,0.029383777685209667,0.0,1.7271344237604886,0.0,0.0,0.01703333929878037,1.8986703429655298,0.06445798922691845,0.0,0.06445798922691845,0.0,0.0,0.0,0.04139268515822507,0.0,0.0,0.0,0.0,0.0,0.07918124604762482,0.0,0.0,1.4712917110589385,0.0,0.0,1.8182258936139555,1.0565237240791003,0.0,0.0,0.0,0.012837224705172217,0.0,0.0,1.4094258686714434,0.0,0.0,0.0,1.0199466816788423,0.0,0.0,0.0,2.0872488677956578,0.0,0.0,0.0,0.0,0.012837224705172217,0.0,0.056904851336472634,1.0472748673841794,0.0,0.0,0.0,0.04921802267018165,0.0,0.0,0.0,0.012837224705172217,0.0,1.2245330626060857,0.22010808804005513,0.0,0.0,0.8750612633917001,1.2415464805965484,2.0197392326747052,0.0,0.0,1.6753199833392922,0.0,0.0,0.8356905714924255,0.6580113966571124,0.0,0.0,0.04532297878665747,0.6344772701607316,0.021189299069938092,0.34044411484011833,0.0,0.0,0.12710479836480765,0.0,0.3364597338485295,1.1139433523068367,0.0,0.0,0.0,0.0,0.1205739312058499,0.0,0.0,0.0,0.0,0.0,0.0,0.056904851336472634,0.10037054511756291,0.9122220565324155,0.0,0.0,0.5185139398778874,0.0,0.08635983067474821,0.02530586526477026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6560982020128319,0.0,0.04921802267018165,0.6444385894678386,0.0,0.07918124604762482,0.0,0.0,0.9731278535996987,0.884795363948981,0.0,0.0,0.8169038393756602,0.0,0.0,0.04139268515822507,0.6989700043360189,0.4593924877592308,0.0,0.06069784035361165,3.3384724307243623,0.367355921026019,0.0,0.03742649794062367,0.0,0.0,1.846275242412213
