,AL731563.3,OFD1P18Y,CNTF,RBM17P1,RPSAP62,AC025259.1,IKZF1,FAM189A2,APBA1,MLEC,AL355877.3,CYB5RL,CACNA1A,VPS13A,RPS23P6,BANP,ZNF627
04H091,0.15836249209524964,0.0,0.0,1.0417873189717517,1.1586639808139894,0.09691001300805642,0.0,0.0,2.1977215222268653,0.0,0.0,1.6531159931655668,0.01703333929878037,0.0,0.0,0.4265112613645752,0.04921802267018165
04H101,0.320146286111054,0.0,0.0,1.1643528557844371,1.3010299956639813,0.0,0.0,0.0,2.0270232545887037,0.0,0.0,1.6744018128452818,0.0,0.0,0.0,0.436162647040756,0.02530586526477026
04H103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1592934172227443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04H108,0.31386722036915343,0.004321373782642578,0.0,1.105510184769974,1.4126285205443752,0.0,0.0,0.0,2.1498654530262615,0.0,0.0,1.5678494505731069,0.012837224705172217,0.0,0.06069784035361165,0.6776069527204931,0.06818586174616162
04H112,0.5843312243675307,0.0,0.0,0.8698182079793282,0.8970770032094203,0.029383777685209667,0.0,0.0,2.113241232432599,0.0,0.0,1.3941013020400446,0.02530586526477026,0.0,0.0,0.75815462196739,0.11394335230683678
04H117,0.3384564936046048,0.004321373782642578,0.0,0.9804578922761,1.024895960107485,0.0,0.0,0.0,1.8332108802826088,0.0,0.0,1.9447293603032958,0.04921802267018165,0.0,0.04532297878665747,0.7092699609758307,0.04532297878665747
04H120,0.5717088318086876,0.0,0.0,1.0166155475571774,1.0132586652835165,0.02530586526477026,0.0,0.0,1.866700756042499,0.0,0.0,1.658488381309017,0.008600171761917567,0.0,0.012837224705172217,0.5865873046717549,0.04139268515822507
04H123,0.03742649794062367,0.0,0.0,1.1723109685219542,1.24551266781415,0.0,0.0,0.0,2.243286146083446,0.0,0.0,1.3100557377508915,0.0,0.0,0.0,0.711807229041191,0.04532297878665747
04H132,0.4329692908744057,0.0,0.0,1.1360860973840974,1.2574385668598138,0.08635983067474821,0.0,0.0,2.0385804259615785,0.0,0.0,1.5020172148271473,0.07918124604762482,0.0,0.03742649794062367,0.7024305364455253,0.2576785748691845
04H133,0.4871383754771864,0.0,0.0,1.073351702386901,1.0791812460476249,0.03742649794062367,0.0,0.0,1.9363126336621932,0.0,0.0,1.582290682718994,0.029383777685209667,0.0,0.0,0.7817553746524689,0.07918124604762482
04H135,0.36172783601759284,0.0,0.0,1.301897717195208,1.2803506930460056,0.02530586526477026,0.0,0.0,2.0519239160461065,0.0,0.0,1.6943419103641812,0.01703333929878037,0.0,0.0,0.7551122663950712,0.320146286111054
04H138,0.07554696139253074,0.0,0.0,0.9772662124272926,1.0207754881935578,0.0,0.0,0.0,1.8898617212581885,0.0,0.0,1.6769678142947586,0.03342375548694973,0.0,0.0,0.5622928644564746,0.04532297878665747
04H140,0.34635297445063856,0.0,0.0,1.0216027160282422,1.1577588860468637,0.04532297878665747,0.0,0.0,2.0355097850895585,0.04921802267018165,0.0,1.6075622431835883,0.021189299069938092,0.7193312869837267,0.012837224705172217,0.6334684555795865,0.03342375548694973
05H008,0.10720996964786837,0.0,0.0,1.250907699700856,1.3946267642722092,0.0,0.0,0.0,2.113073893594208,0.0,0.0,1.7877437716464668,0.12385164096708583,0.0,0.01703333929878037,0.6839471307515121,0.02530586526477026
05H013,0.012837224705172217,0.0,0.0,1.2410481506716444,1.1408221801093106,0.0,0.0,0.0,1.957224057843167,0.0,0.0,1.5009222391903005,0.008600171761917567,0.0,0.18752072083646307,0.5105450102066121,0.03342375548694973
05H025,0.008600171761917567,0.0,0.0,0.9652017010259121,1.1420764610732848,0.021189299069938092,0.0,0.0,2.034307529596563,0.0,0.0,1.9455670534423886,0.0,0.0,0.029383777685209667,0.795184589682424,0.012837224705172217
05H030,0.5751878449276611,0.004321373782642578,0.0,1.2380461031287955,1.3868555291847242,0.029383777685209667,0.0,0.0,2.1367839631833645,0.0,0.0,1.7465563614103692,0.1205739312058499,0.0,0.0,0.6404814369704218,0.1367205671564068
05H034,0.1367205671564068,0.0,0.0,1.0685568950723632,1.2397998184470986,0.0,0.0,0.0,1.9460590603851236,0.0,0.0,1.6641717053619307,0.0,0.0,0.01703333929878037,0.6434526764861874,0.012837224705172217
05H042,0.48287358360875376,0.0,0.0,1.1464381352857747,1.1245042248342823,0.03742649794062367,0.0,0.0,2.096631975558161,0.0,0.0,1.6367886890343748,0.03742649794062367,0.0,0.03342375548694973,0.6354837468149122,0.05307844348341968
05H050,0.34830486304816066,0.0,0.0,0.9429995933660404,1.0220157398177203,0.10037054511756291,0.0,0.0,2.0040202732532415,0.0,0.0,1.437750562820388,0.021189299069938092,0.0,0.05307844348341968,0.5899496013257077,0.06069784035361165
05H054,0.41830129131974547,0.0,0.0,1.0696680969115957,1.1789769472931695,0.03342375548694973,0.0,0.0,1.930999941956152,0.0,0.0,1.4919217125861508,0.01703333929878037,0.0,0.03742649794062367,0.6757783416740851,0.04139268515822507
05H065,0.08990511143939793,0.0,0.0,1.1852587652965851,1.1482940974347458,0.0,0.0,0.0,2.0186588975855178,0.0,0.0,1.6595359071542164,0.008600171761917567,0.0,0.06445798922691845,0.6354837468149122,0.004321373782642578
05H066,0.34830486304816066,0.0,0.0,1.0149403497929366,1.0927206446840991,0.03742649794062367,0.0,0.0,1.8351830698490437,0.0,0.0,1.4181354984252321,0.01703333929878037,0.0,0.012837224705172217,0.711807229041191,0.04532297878665747
05H072,0.6655809910179531,0.0,0.0,1.0842186867392387,1.2460059040760292,0.0,0.0,0.0,2.1775942096478267,0.0,0.0,1.4050046650503694,0.03342375548694973,0.0,0.029383777685209667,0.8813846567705729,0.08635983067474821
05H078,0.24797326636180664,0.0,0.0,0.9623693356700211,0.9580858485210851,0.021189299069938092,0.008600171761917567,0.0,1.833848049531148,0.0,0.0,1.3348556896172916,0.021189299069938092,0.0,0.0,0.6646419755561255,0.08635983067474821
05H090,0.32428245529769273,0.0,0.0,0.9532763366673044,1.0107238653917732,0.02530586526477026,0.0,0.0,1.9069273473089559,0.0,0.0,1.4684950245070694,0.0,0.0,0.0,0.6364878963533654,0.06445798922691845
05H094,0.03342375548694973,0.0,0.0,1.1408221801093106,1.1489109931093564,0.0,0.0,0.0,1.9012948171655673,0.0,0.0,1.7231271587956916,0.0,0.0,0.0,0.8344207036815325,0.06445798922691845
05H097,0.2695129442179163,0.0,0.0,1.04883008652835,0.8135809885681919,0.0,0.0,0.0,1.9418094730088382,0.09691001300805642,0.0,2.12205196263325,0.0,0.0,0.012837224705172217,0.5263392773898441,0.02530586526477026
05H099,0.557507201905658,0.0,0.0,1.0017337128090005,0.9508514588885464,0.0,0.0,0.0,1.9743274354236169,0.0,0.0,1.6225248624035682,0.008600171761917567,0.0,0.01703333929878037,0.6580113966571124,0.13353890837021748
05H111,0.29885307640970665,0.0,0.0,1.2089785172762535,0.8463371121298052,0.0,0.0,0.0,1.9452223166353408,0.0,0.0,1.5949447366950833,0.03742649794062367,0.0,0.0,0.7817553746524689,0.08278537031645007
05H113,0.6875289612146344,0.0,0.004321373782642578,1.256717745977487,1.1989318699322091,0.021189299069938092,0.0,0.0,1.9317628884811777,0.0,0.0,1.6017341482601049,0.01703333929878037,0.012837224705172217,0.029383777685209667,0.8388490907372553,0.2304489213782739
05H118,0.5611013836490559,0.0,0.0,1.00774777800074,0.9237619608287003,0.0,0.0,0.0,2.018742095762382,0.0,0.0,1.5515719736742537,0.06445798922691845,0.0,0.029383777685209667,0.6803355134145632,0.23552844690754893
05H128,0.3384564936046048,0.0,0.0,1.3304137733491908,1.6681994841986618,0.02530586526477026,0.0,0.0,2.109342269637973,0.0,0.0,1.634578022853888,0.03342375548694973,0.0,0.03342375548694973,0.9786369483844743,0.07918124604762482
05H136,0.07188200730612536,0.0,0.012837224705172217,1.2357808703275603,1.1078880251827987,0.0,0.0,0.0,1.9389697972228903,0.0,0.0,1.656577291396114,0.012837224705172217,0.0,0.012837224705172217,0.4913616938342727,0.08990511143939793
05H143,0.6424645202421214,0.0,0.0,1.353916230920363,1.290034611362518,0.04532297878665747,0.0,0.0,2.1203435624380247,0.0,0.0,1.6787004349983041,0.04532297878665747,0.0,0.029383777685209667,0.8363241157067517,0.03342375548694973
05H149,0.20682587603184968,0.0,0.0,1.2137832993353042,0.8876173003357362,0.11394335230683678,0.0,0.0,1.8986703429655298,0.0,0.0,1.4902394852462872,0.06818586174616162,0.0,0.02530586526477026,0.8948696567452525,0.36172783601759284
05H163,0.14921911265537988,0.0,0.0,1.1495270137543478,1.0958664534785427,0.0,0.0,0.0,1.9759370424831106,0.0,0.0,1.6014080605346837,0.0,0.0,0.0,0.829303772831025,0.0
05H179,0.5263392773898441,0.0,0.0,1.3738311450738303,1.0689276116820718,0.03742649794062367,0.0,0.0,1.910944405749979,0.0,0.0,1.8047526021504605,0.004321373782642578,0.0,0.03342375548694973,0.6414741105040995,0.16136800223497488
05H181,0.021189299069938092,0.0,0.0,1.0236639181977936,1.1535099893008376,0.0,0.0,0.0,1.9126471062183172,0.0,0.0,1.576916955965207,0.012837224705172217,0.0,0.07554696139253074,0.6354837468149122,0.01703333929878037
05H184,0.7234556720351858,0.0,0.0,1.3207692283386865,1.089551882886454,0.0,0.0,0.0,2.0906459575733147,0.0,0.0,1.6891311972344978,0.008600171761917567,0.0,0.04921802267018165,0.6954816764901974,0.06069784035361165
05H193,0.9858753573083936,0.0,0.0,1.212986184736668,1.2643455070500924,0.03742649794062367,0.012837224705172217,0.0,2.0421027680373025,0.0,0.0,1.800648355363988,0.008600171761917567,0.0,0.01703333929878037,1.0013009330204181,0.05307844348341968
05H195,0.4578818967339924,0.0,0.0,1.3001605369513523,1.2405492482825997,0.021189299069938092,0.0,0.0,2.0372272345822746,0.0,0.0,1.6139474767803497,0.03742649794062367,0.0,0.012837224705172217,0.8419848045901139,0.22271647114758328
06H010,0.3364597338485295,0.0,0.0,1.1119342763326816,0.7573960287930241,0.05307844348341968,0.0,0.0,2.029505525426577,0.0,0.0,1.717670503002262,0.0,0.0,0.03342375548694973,0.8034571156484139,0.08635983067474821
06H011,0.3979400086720376,0.0,0.0,1.2119210843085093,1.3471347829100198,0.0,0.0,0.0,2.0865021989703694,0.0,0.0,1.7278664494674891,0.01703333929878037,0.0,0.0,0.5786392099680724,0.03742649794062367
06H019,0.292256071356476,0.0,0.0,1.3068537486930087,1.3588862044058692,0.0,0.0,0.0,1.9733126204529017,0.0,0.0,1.7057782128285977,0.008600171761917567,0.0,0.0,0.6095944092252201,0.08635983067474821
06H020,0.2576785748691845,0.0,0.0,1.1420764610732848,1.3191060593097763,0.021189299069938092,0.0,0.0,2.1096797692523346,0.0,0.0,1.697926444806505,0.0,0.0,0.04139268515822507,0.5453071164658241,0.08278537031645007
06H021,0.45024910831936116,0.0,0.0,1.0726174765452365,1.207095540419218,0.0,0.0,0.0,2.023293623036605,0.0,0.0,1.5520595341878844,0.008600171761917567,0.0,0.0,0.6665179805548809,0.03742649794062367
06H026,0.2695129442179163,0.0,0.0,1.0338256939533104,1.1574567681342256,0.0,0.0,0.0,2.074084689028244,0.06445798922691845,0.0,1.7241939195143297,0.008600171761917567,0.0,0.03742649794062367,0.6946051989335688,0.11058971029924897
06H028,0.7888751157754168,0.0,0.0,1.4402792132355882,1.5923988461155638,0.0,0.0,0.0,1.991757539534348,0.03342375548694973,0.0,1.7557986569738306,0.029383777685209667,0.0,0.01703333929878037,0.9498777040368748,0.11394335230683678
06H029,0.3856062735983121,0.0,0.0,1.0934216851622351,1.216957207361097,0.02530586526477026,0.0,0.0,2.141136090120739,0.0,0.0,1.8133808067338557,0.008600171761917567,0.0,0.012837224705172217,0.7895807121644255,0.021189299069938092
06H035,0.22530928172586287,0.0,0.0,1.0269416279590293,0.6821450763738318,0.0,0.0,0.0,1.901131251355372,0.0,0.0,1.6097011023793995,0.012837224705172217,0.0,0.03342375548694973,0.32428245529769273,0.04532297878665747
06H038,0.04921802267018165,0.0,0.0,1.0856472882968564,1.012415374762433,0.04532297878665747,0.0,0.0,1.816373888752362,0.0,0.0,1.6003193297516611,0.029383777685209667,0.0,0.0,0.6608654780038692,0.01703333929878037
06H045,0.06445798922691845,0.0,0.0,1.0441476208787228,0.7168377232995244,0.04532297878665747,0.0,0.0,1.8750612633917,0.0,0.0,1.5011962420270888,0.0,0.0,0.029383777685209667,0.9009130677376691,0.5037906830571811
06H048,0.07188200730612536,0.0,0.0,0.9982593384236987,1.1332194567324942,0.021189299069938092,0.0,0.0,1.9955474494751375,0.0,0.0,1.7934411329776636,0.021189299069938092,0.0,0.012837224705172217,0.5145477526602861,0.03342375548694973
06H066,0.36548798489089973,0.0,0.0,0.9556877503135057,0.9921114877869497,0.021189299069938092,0.0,0.0,2.1113633443251305,0.0,0.0,1.6211762817750353,0.012837224705172217,0.0,0.0,0.49831055378960054,0.06069784035361165
06H073,0.367355921026019,0.0,0.0,0.9680157139936417,1.2576785748691846,0.07188200730612536,0.0,0.0,2.040681439373358,0.0,0.0,1.6004283257321312,0.03342375548694973,0.0,0.0,0.7427251313046983,0.04532297878665747
06H074,0.056904851336472634,0.0,0.0,1.0923696996291206,1.2372923375674587,0.0,0.0,0.0,2.0725439856436476,0.0,0.0,1.4998244958395797,0.012837224705172217,0.0,0.012837224705172217,0.7505083948513462,0.0
06H075,0.6454222693490919,0.0,0.0,1.1580607939366052,1.3803921600570273,0.02530586526477026,0.0,0.0,1.838345268775991,0.0,0.0,1.7641761323903307,0.008600171761917567,0.0,0.01703333929878037,0.9084850188786497,0.04921802267018165
06H077,0.09342168516223506,0.0,0.0,0.8494194137968993,0.8221680793680175,0.0,0.0,0.0,1.885078384149224,0.0,0.0,1.7281101841003406,0.01703333929878037,0.0,0.0,0.36921585741014284,0.012837224705172217
06H088,0.32428245529769273,0.0,0.0,1.049605612594973,1.153814864344529,0.0,0.0,0.0,1.9013493254156424,0.0,0.0,1.5547313766759665,0.008600171761917567,0.0,0.01703333929878037,0.7442929831226762,0.05307844348341968
06H089,0.5786392099680724,0.0,0.0,1.1758016328482794,1.0773679052841565,0.0,0.0,0.0,2.138113146487167,0.0,0.0,1.761551988564182,0.021189299069938092,0.0,0.0,0.8344207036815325,0.08635983067474821
06H099,0.4899584794248346,0.0,0.0,0.8802417758954804,0.7379873263334308,0.02530586526477026,0.0,0.0,1.8795546009389743,0.0,0.0,1.4072208929273966,0.0,0.0,0.0,0.7693773260761385,0.056904851336472634
06H103,0.4756711883244297,0.0,0.0,0.9116901587538612,0.42324587393680785,0.0,0.0,0.0,1.7006171956820568,0.0,0.0,1.3778524190067545,0.0,0.0,0.06445798922691845,0.7007037171450193,0.38021124171160603
06H106,0.4623979978989561,0.0,0.0,1.0595634179012676,0.7512791039833423,0.0,0.0,0.0,1.8797837800904158,0.0,0.0,1.5482665451707454,0.03742649794062367,0.0,0.029383777685209667,0.6812412373755872,0.0
06H115,0.46686762035410945,0.0,0.0,1.236789099409293,1.1501421618485586,0.021189299069938092,0.0,0.0,1.9843472575858638,0.0,0.0,1.6259294927162946,0.012837224705172217,0.421603926869831,0.012837224705172217,0.541579243946581,0.08635983067474821
06H117,0.1931245983544616,0.0,0.0,1.0923696996291206,1.2866809693549301,0.0,0.0,0.0,1.97570746353718,0.0,0.0,1.6126779183165019,0.021189299069938092,0.0,0.0,0.4517864355242902,0.04139268515822507
06H133,0.056904851336472634,0.0,0.0,1.321805483857539,1.3374592612906562,0.0,0.0,0.0,2.0496443525692998,0.0,0.0,1.7826875682349663,0.0,0.0,0.01703333929878037,0.6848453616444125,0.10037054511756291
06H144,0.5670263661590604,0.0,0.0,1.319314304090512,0.7481880270062005,0.0,0.0,0.0,1.7212333700172775,0.0,0.0,1.539577883345309,0.01703333929878037,0.0,0.04532297878665747,0.6998377258672457,0.16136800223497488
06H146,0.30319605742048883,0.0,0.0,1.0136796972911926,0.7387805584843692,0.0,0.0,0.0,1.875928984922927,0.0,0.0,1.6880636969463443,0.008600171761917567,0.0,0.012837224705172217,0.7450747915820575,0.35410843914740087
06H151,0.29885307640970665,0.0,0.004321373782642578,1.1574567681342256,1.1829849670035817,0.18184358794477254,0.0,0.0,1.9801397777457543,0.0,0.0,1.5928426831311002,0.0,0.0,0.04139268515822507,0.6655809910179531,0.17609125905568124
07H003,0.07554696139253074,0.0,0.0,1.3234583668494677,1.342817314635733,0.02530586526477026,0.0,0.0,2.0099605314705973,0.03742649794062367,0.0,1.8071966607109473,0.029383777685209667,0.0,0.01703333929878037,0.5751878449276611,0.02530586526477026
07H005,0.5563025007672873,0.004321373782642578,0.0,1.3928727454020795,1.1293675957229856,0.0,0.012837224705172217,0.0,2.00552369267328,0.0,0.0,1.7195798577137233,0.01703333929878037,0.0,0.029383777685209667,0.8095597146352678,0.06445798922691845
