,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50
02H060,-0.019344652,-0.12155817,0.042971294,0.117208324,0.096432015,0.00791556,0.11964429,0.13553102,0.0071181976,0.0035927615,-0.0061864634,0.11335873,0.17698981,-0.039014693,0.019599823,-0.03763219,0.19191194,-0.070952676,0.0018123435,-0.0052114665,-0.015604797,-0.0046499385,0.032310165,-0.0072680735,-0.088847816,-0.1254416,-0.0162234,-0.10533917,0.094134815,-0.09337845,0.053065807,0.052940477,0.011206767,0.055467885,-0.02279632,-5.593693e-05,-0.004146975,0.030598348,-0.0031632986,-0.011346524,-0.1086496,-0.013522444,0.0061109546,0.0007457463,-0.008453289,0.16146937,-0.0029012912,-0.16933303,-0.108562954,-0.07929069
02H066,-0.058667686,0.036468368,0.07886738,0.17408967,0.0821785,-0.0025517973,0.016614873,-0.07335619,-0.010970619,-0.0017593963,-0.013012464,0.029054835,0.103354506,-0.036425505,0.005642826,0.10987232,0.13132425,0.107960366,-8.2386854e-05,0.010651953,0.060718086,-0.010411724,0.07006347,0.0018932497,0.06273859,0.014498982,-0.0023943023,0.010248753,0.0478485,0.06617901,-0.078973055,0.15280953,0.0015508791,0.04070542,-0.055232514,0.061830096,0.0046412363,-0.009374302,0.006093341,-0.0010803002,0.0672196,0.01953055,-0.0061324253,0.003110213,-0.056273468,-0.05748228,0.007847234,-0.013304498,0.20095654,-0.04179938
03H016,0.05778176,0.01587839,-0.05604247,-0.035742283,0.16955599,-0.0016348099,-0.0404195,-0.07807851,-0.011461536,0.006040253,-0.0076486543,-0.03981155,-0.015161853,-0.02813868,-0.007888926,-0.06964113,0.026615208,-0.042695068,-0.0045254966,0.0033684815,0.073139824,-0.011807287,-0.08064311,-0.00086785335,0.042444028,0.035549235,-0.0018917773,0.012751942,0.035270683,0.0046461034,0.21270506,0.027004143,-0.0071954457,0.11237051,-0.017986203,0.083778694,-0.011643031,-0.013976735,0.0030736935,-0.0047600055,-0.025250193,0.06706712,0.0067250305,-0.0034843308,-0.008754465,0.04848714,-0.005630276,-0.03212236,0.006280113,0.024626706
03H022,-0.014487148,0.02331609,0.009969693,-0.11393004,-0.026285479,0.0020777164,0.0072658653,-0.097288154,-0.0049122088,0.005883043,-0.007225565,0.028600017,0.12827216,0.042275086,-0.0035095597,-0.09882499,-0.12182547,0.003122418,0.013323452,0.010723639,0.038466457,0.0030787645,0.04002295,0.004964251,0.015396314,0.07945905,0.008669883,-0.06537432,0.08830431,0.071832895,0.041176595,-0.037257906,0.0047364887,0.07020921,-0.02994231,0.0018716357,-0.009205431,-0.018948201,-0.0045600347,0.011243525,-0.018543694,0.016760767,-0.010457879,-0.0037090324,0.0063829855,0.05118791,-0.006692893,-0.079508014,-0.039876945,-0.010884551
03H024,-0.033203214,0.04595702,-0.14913943,0.03169363,0.013254906,0.016388146,0.14223428,0.014748585,0.003266463,0.0035757564,-0.0028970453,0.027221434,0.019475495,-0.07967264,0.026060095,0.024209162,-0.06183524,0.08069612,0.01852375,0.0067287865,0.070307545,0.009178717,-0.050806187,0.0023270282,-0.017368509,-0.14873618,-0.000636036,-0.028096728,0.13685866,-0.06729014,-0.052627638,-0.108490594,0.022922564,0.07604951,0.004822173,0.013773282,0.005656965,0.019943925,-0.019655544,0.0077812327,-0.020965539,0.096572,-0.011223885,0.0043766773,0.106781356,0.024148703,0.009049754,-0.05474078,0.04241922,0.001530443
03H028,-0.047618046,0.13760625,-0.08473458,0.058932304,0.07651044,-0.004714795,-0.11685069,0.027038464,-0.011897492,0.013600613,-0.015043032,0.032690287,0.16704778,-0.030300958,0.0037142585,0.002046379,-0.16271581,0.1031204,0.0072835376,0.016091697,-0.042430405,0.002425516,-0.042709295,-0.0027411047,-0.014165867,0.020104498,0.002247043,0.16789022,0.22899328,-0.12667851,-0.04944863,-0.13192642,-0.01120461,-0.03984261,-0.007921695,0.002342438,-0.020014066,0.046646327,0.0015227954,0.008151947,0.033273946,0.027429884,0.0064843255,-0.0102656875,-0.12284731,0.026283603,-0.013028041,-0.07270178,0.113836825,-0.021636905
03H030,-0.05992843,0.0008931257,-0.01341977,0.09295086,0.020673813,0.016914124,-0.0030347074,0.040385276,0.01660307,-0.0042773313,0.010185982,-0.1109081,0.16034076,-0.104683466,0.05975335,0.07316072,-0.090639904,0.07893316,-0.0058368156,-0.013849379,0.047407303,0.008947948,-0.00960594,-0.0007274458,0.07419608,0.061553154,-0.0016603027,0.057008494,0.07525224,-0.03597548,-0.055194493,0.043718137,0.007125527,-0.0146139,-0.00637888,0.03421188,0.004827364,0.013961975,0.002035679,-0.010726434,-0.08214704,0.030531032,-0.0034553355,-0.007959271,-0.15721476,0.23651284,0.006432406,-0.084672146,-0.0005041701,0.012025725
03H036,-0.036272693,0.018628018,-0.023256216,-0.12673925,0.015911072,0.0039483337,0.084860526,-0.038572516,0.022992074,0.0133193275,0.010969447,-0.07791802,0.044659037,-0.025269523,-0.073441006,-0.083522,-0.06729228,-0.016541686,-0.008281934,-0.018898798,-0.043899696,0.010863996,-0.07468637,0.0008359114,0.04940922,0.010115875,0.00984932,-0.0065649785,0.0925944,0.025241636,-0.08370336,0.026069688,0.0042002723,-0.07364642,-0.027979925,-0.020250969,0.003440603,-0.022574157,0.010091838,-0.0050829174,-0.013053401,-0.027459549,-0.00444079,-0.0021940065,0.15690388,-0.035013594,-0.00293169,0.14723715,-0.040684324,0.0025888756
03H041,0.019828448,-0.03843375,0.02678341,-0.042090338,0.102858335,-0.0052670296,0.16085207,-0.051488042,0.00095787883,-0.010214276,0.007057533,-0.02249162,0.019319054,0.020504728,0.0035609964,0.07089976,0.12130815,-0.092493095,-0.0056649134,-0.0038999415,0.028853785,-0.0037753456,-0.012342503,-0.0024060553,0.023177572,0.030857055,-0.009736205,-0.061844252,0.0925974,0.014704321,0.13469332,-0.049582515,-0.002105219,0.02747233,-0.020565411,0.048139084,-0.011932031,0.050688975,-0.02296621,-0.009680153,-0.061681427,-0.0012783906,0.007937119,0.0014536127,0.051686246,0.023855548,0.018970437,-0.08782751,0.104340844,0.0042759427
03H052,-0.023248807,0.06733291,0.0070128976,-0.020133127,0.16657709,0.0019977745,0.056377858,0.017971775,-0.00037918656,-0.0027048616,0.008290583,-0.06752365,-0.04898111,0.06686031,-0.0833998,-0.053582646,0.027582508,-0.065809436,0.0048583117,-0.0027379596,0.010970645,-0.011151595,0.030657087,-0.0039883824,0.006492961,0.048965923,0.011449534,-0.047645442,0.1192934,-0.066640034,0.2030919,-0.07504472,-0.007912847,0.14653294,-0.043423228,0.04492012,0.0053625605,0.0012624563,0.006535603,0.004001734,-0.07383415,0.07321091,-0.0038939002,0.012179308,0.03582572,0.015333374,0.0015223898,-0.06217519,0.06375436,0.0010424705
03H060,-0.009649492,0.08721966,-0.09419443,0.07648498,0.09058828,0.00130074,0.13294548,-0.03499074,0.0057871076,0.0059931865,-0.008587917,0.0736711,-0.036028355,-0.063394204,-0.08249306,0.050568372,-0.12575713,0.01373994,-0.0036393728,-0.005943165,0.003645556,-0.0041291486,0.022041729,-0.009020209,0.05712788,-0.009966986,-0.008615283,-0.040646564,0.13068497,-0.04758359,0.038811833,-0.17291133,0.0051068445,0.024846975,-0.006154266,0.04506584,-0.00018975526,0.018110868,-0.005644836,0.0076360996,-0.05417844,0.045014933,0.0024412924,-0.00033812597,0.04453998,0.12329123,0.004261501,-0.0686668,0.0022136841,0.030888205
03H065,-0.032597933,0.13466573,0.023454973,-0.0056655365,0.074038535,-0.004235929,0.004984228,-0.006429008,-0.0033700645,0.008349416,-0.013678748,-0.01794955,0.050806385,-0.113726854,-0.004647218,0.016023876,0.16696739,0.09519726,-0.0002935125,0.0122666145,-0.03647229,-0.0032337378,0.05871066,0.00070245937,-0.01742737,0.053601656,0.0031985873,0.129793,-0.046264425,-0.05871407,0.020042267,-0.07810215,-0.005692821,-0.18291716,-0.067047104,0.04693319,-0.020145833,0.03056958,0.003415612,0.00070279854,-0.12203751,-0.052864354,0.0020229523,-0.010572434,-0.023419788,0.032630887,-0.009619667,-0.1214936,-0.13626473,0.066804595
03H067,0.0061557274,0.025983348,0.0008993907,0.008985325,0.065036386,0.01044851,0.06657926,-0.017484484,0.00769217,-0.005439607,-0.0022692867,-0.061773703,-0.03853586,-0.047733676,0.0049385,0.03669773,0.08723133,0.048879694,-0.00023149326,-0.0008161467,0.04564364,0.0106477365,0.029858213,0.0026025872,-0.020055316,-0.037226774,0.0042505963,0.008579536,0.06579266,-0.036399424,0.21922857,0.0012111232,0.0049157324,0.118403316,0.03698218,0.062132552,0.012430543,-0.010261691,0.0028916097,0.0025011192,0.033866897,0.077782236,-0.0054007717,-0.012227743,0.06611997,-0.021614948,-0.0012143452,-0.03192458,-0.040185068,-0.040627915
03H070,0.0068477793,-0.12931928,0.0065016164,0.24313782,-0.05104477,-0.0048323357,-0.011356852,-0.029338852,-0.006143989,-0.0030214803,0.0061437744,-0.07390352,0.08985189,0.069398865,0.07114594,-0.15483318,-0.07767704,-0.013265192,-0.0052240547,-0.0015530683,0.034487143,7.686587e-05,0.026085759,0.0018466652,0.030602537,0.07719474,0.005662137,0.059652016,0.03654986,0.023754772,-0.014990855,-0.12476426,-0.008343284,-0.11749206,0.054032918,0.053835236,0.0003133262,-0.0015522472,0.0038933994,-0.0009175231,-0.017514907,0.02322894,-0.0033817354,0.002417492,0.08704539,-0.043625303,-0.0021841663,-0.0191587,0.07465711,-0.04266305
03H081,0.004363278,-0.035368405,0.0926033,0.048193023,-0.078635685,0.0040128655,0.046815317,-0.082096174,0.012439883,-0.001011165,-0.0030351658,-0.026438246,0.071196735,0.017122446,0.027366804,0.11700961,-0.05553427,-0.03337995,-0.0068937545,0.0027774645,-0.027889293,0.02306651,0.0031412656,0.006834187,-0.09884246,-0.017408809,-0.010455039,0.07218813,-0.0016315334,-0.10703026,-0.1670829,-0.05946132,0.0096899485,0.008166868,-0.05247354,-0.07395416,0.0015077424,-0.058249418,-0.023456605,-0.0010114685,-0.11360895,0.10961134,0.004066071,-0.017157646,-0.06912908,-0.08130653,-0.017067488,0.08562559,-0.030061364,0.004042058
03H083,0.002372941,0.16377313,0.0536457,-0.07946721,0.051235355,0.007238039,0.233797,0.012020321,0.007033901,-0.0055638403,0.0026881997,-0.035311434,0.027797192,0.015978677,-0.09360628,-0.045590542,0.08713197,0.08547103,0.004278501,-0.0063230023,-0.116092205,0.002568336,0.020397443,-0.014271589,-0.13876142,0.023542255,-0.0014438801,-0.0055441023,0.10782931,-0.08783819,0.075120494,-0.13450177,0.0039836867,0.034765307,0.062728845,0.05579729,0.0010288522,-0.033200454,-0.0060258075,-0.00079135137,-0.14274907,0.077234834,0.0020451935,0.011444574,0.008250655,-0.012816962,0.011736708,-0.09138935,-0.04192539,-0.046034228
03H090,-0.042576395,-0.05319512,0.0052523515,0.10180011,0.043280754,0.0031925715,-0.024877334,0.086954735,-0.0023356162,0.00030542497,0.0023107699,0.015375188,-0.17945468,-0.029706713,0.034019638,0.1747185,-0.073075645,0.1340567,0.014953283,0.007497763,-0.0017139295,0.004348068,-0.05669196,0.005651125,-0.104525,0.016480662,0.005427917,0.018899756,-0.10067708,-0.03887088,-0.18257813,0.1271069,0.0034629258,-0.035796493,-0.038119,-0.09534955,0.0028976193,-0.060141332,-0.0024032968,0.005789868,-0.06070702,-0.00015918154,-0.013117141,-0.00030750025,-0.12517843,-0.057621658,-0.0030550512,-0.06264623,-0.034833226,-0.05100965
